#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4329.311411357551    All      -0.8477870796210674        0.558202874784719          -0.2458247167650085        0.44700715576839745        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5416.196344828086    All      0.5317810268509962         0.2897731808514159         -0.1800850706576318        -0.0868662868663439        
Zeropoint     AB|CNIa02|SDSS_g                      4673.527968294221    All      -0.32332583175649154       0.34094808397284737        0.20594561431904745        0.22556627520881056        
Zeropoint     AB|CNIa02|SDSS_i                      7405.688398613838    All      0.4677558696343608         -0.08671377534668068       0.18387994307829114        -0.17240328755026568       
Zeropoint     AB|CNIa02|SDSS_r                      6106.903934443097    All      1.170571867072814          -0.10532763084141195       0.03753057829786188        -0.4139276249796153        
Check         All|All|All                           All                  All      0.9989958521806123         0.9968827334208896         0.0014463482725601828      -0.0006237684190169013     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4329.311411357551    All      -0.00042916154080063236    0.0001728597091443503      -0.0006712239456803947     0.0001661444851422699      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5416.196344828086    All      2.6855555030480566e-05     5.7259637251002125e-05     -0.0007300325700378809     -2.2674390838654115e-05    
Lambda        AB|CNIa02|SDSS_g                      4673.527968294221    All      -2.901933486055976e-05     5.765307890120762e-05      -0.00014672485620632975    2.1684400150325802e-05     
Lambda        AB|CNIa02|SDSS_i                      7405.688398613838    All      -8.911783646694028e-05     -2.3003843543051236e-05    -0.00042327671319094596    2.646606910986789e-06      
Lambda        AB|CNIa02|SDSS_r                      6106.903934443097    All      -1.563419745547975e-05     -5.6465034244969506e-05    -0.0006364159324993907     -4.170026695176101e-05     
MWEBV         All|All|All                           All                  All      -0.8757261838591037        -4.055209928857906         0.024949232628213025       -1.0345490879898167        
Redshift      All|All|All                           All                  All      4.574586158365564          -0.8902862835235226        2.6298883996312084         -1.6627289026513392        
