#Format:      
#Parameter    MagSys|Instrument|Band                          RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_B          4284.8527376137       All      -0.25263405573698156       0.15207321046313282        -0.19240484591603835       0.12324032648521731        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_I                  7799.73250294146      All      0.1257923709000376         -0.016110937534197234      0.06647061222709981        -0.04325629790199419       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_V                  5303.76349880314      All      0.20643581583658585        0.16269816890899236        0.13894372010093428        -0.00804637044748062       
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_I          7785.043733948006     All      0.10984143579450692        -0.01873456800005613       0.009359071647143802       -0.04146378207781901       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_I    7734.2117250036545    All      0.1272889052907071         -0.016136460175797396      0.06719243375129848        -0.04371987037217479       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_R    6415.192027258608     All      0.3661611865372976         -0.010035030391009059      0.13863786775626263        -0.11635271304420154       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_R                  6291.999283011101     All      0.43076164370923226        -0.0047943580629095095     0.20019694940563895        -0.13294104876337762       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_U    3565.3902217020172    All      -0.1674410272637177        0.08716052164725596        -9.461936682890204e-05     0.08292787819469646        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_B    4290.455060991466     All      -0.29571763994122524       0.21744085053310158        -0.030368633700689467      0.16579739011639494        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_V    5284.557546804049     All      0.210520141186201          0.1675635166920486         0.16311175566391667        -0.006713457318630549      
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_R          6406.397943190441     All      0.2963592953784715         -0.042638253017557304      -0.31957372514361243       -0.12468376180478948       
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_V          5360.576204961122     All      0.11301023903276891        0.08029419109352176        -0.37606269272692094       -0.027438643922747665      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_B                  4325.435802773231     All      -0.27502353110919886       0.23785207711011225        0.13524551633926654        0.17309584493739108        
Check         All|All|All                                     All                   All      0.9953547796146853         0.9966329292666387         0.000653410037471075       0.00044549408048433214     
Lambda        Linear_AB11_off|Krisciunas|Bessell12_B          4284.8527376137       All      -0.00013436652685297075    3.6305790923107714e-05     -0.0003611631824803339     3.947653478054486e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K2_I                  7799.73250294146      All      -8.82809007793707e-06      2.1071388207558235e-06     5.9799763729943995e-06     3.828822691137827e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_K2_V                  5303.76349880314      All      6.014205383843168e-05      3.498430502636162e-05      6.732223103961146e-06      -7.894278256295564e-06     
Lambda        Linear_AB11_off|Krisciunas|Bessell12_I          7785.043733948006     All      -1.0305900341803433e-05    2.082311318499417e-06      2.5212496491520082e-06     4.147759889979373e-06      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_I    7734.2117250036545    All      -1.380295075402055e-05     2.089805799576334e-06      -3.753778280415181e-06     5.009279781491858e-06      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_R    6415.192027258608     All      -9.446742443180938e-05     -2.8393659653958235e-06    -0.00010919919562917206    2.4973214548930613e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_R                  6291.999283011101     All      -0.00011906325175642993    -3.959589158535515e-06     -0.00013352180742836847    3.153458468410682e-05      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_U    3565.3902217020172    All      -0.00024045488358150058    0.00011121834944031962     -0.00011182094417435785    0.00010956148653743753     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_B    4290.455060991466     All      -0.0001509424256065357     5.561351843221156e-05      -0.00032812239637393       5.2639470923621776e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_V    5284.557546804049     All      1.0610161077730298e-05     1.6707880714405377e-05     -0.00039313482480990414    -1.5557573733642277e-05    
Lambda        Linear_AB11_off|Krisciunas|Bessell12_R          6406.397943190441     All      -6.194428595993797e-05     -2.859986304441904e-06     -8.525105771645302e-05     1.54413370515772e-05       
Lambda        Linear_AB11_off|Krisciunas|Bessell12_V          5360.576204961122     All      -7.967321084892195e-06     -5.255708674060136e-06     -0.0005601947175867121     -2.411565599301222e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_B                  4325.435802773231     All      -6.966237603665076e-05     4.13126298246392e-05       -7.746078487467401e-05     3.26914913138305e-05       
MWEBV         All|All|All                                     All                   All      -0.9285555606898508        -3.943187879993637         0.035202731780337476       -0.9803939886155962        
Redshift      All|All|All                                     All                   All      3.7947769079810785         -0.27280085443566193       -0.5488406731212413        -1.3494361350600492        
