#Format:      
#Parameter    MagSys|Instrument|Band                          RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_B          4284.8527376137       All      -0.2405335565964254        0.15379333466523093        -0.14431926373179582       0.12200493554736166        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_I                  7799.73250294146      All      0.13498567431387398        -0.011465062832538564      0.11099064771316058        -0.042750820328895614      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_V                  5303.76349880314      All      0.24440217235992198        0.1524469902774328         0.0942226634464971         -0.025748103319322178      
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_I          7785.043733948006     All      0.10793391602428443        -0.01408555705513237       0.028493990729927532       -0.038474200765282324      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_I    7734.2117250036545    All      0.12039090152066081        -0.009918435196176745      0.09966858934240541        -0.03799828663743584       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_R    6415.192027258608     All      0.3776213155318565         -0.001402458930499506      0.19233896771642112        -0.1148773081059304        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_R                  6291.999283011101     All      0.4965403542844218         0.00812627948221234        0.34438493255279923        -0.14372421467181626       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_U    3565.3902217020172    All      -0.18282081854828547       0.09305107884634012        0.013303084751448147       0.09045420847087102        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_B    4290.455060991466     All      -0.2725110559694994        0.22182988554835248        0.08109745920570344        0.16464211512346363        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_V    5284.557546804049     All      0.1978278614057778         0.12764916883929445        -0.03651137965843265       -0.02448884416276502       
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_R          6406.397943190441     All      0.24046113428122048        -0.027903910525850506      -0.2782078085495465        -0.09983046077470974       
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_V          5360.576204961122     All      0.06996188913724193        0.045408217327747025       -0.6595431635072257        -0.03743032091530451       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_B                  4325.435802773231     All      -0.296674490740792         0.2585157132047655         0.1538427934946629         0.18770901193952           
Check         All|All|All                                     All                   All      0.9975852970042572         0.996045243651178          -0.00023848649397528732    -0.0005122886002455751     
Lambda        Linear_AB11_off|Krisciunas|Bessell12_B          4284.8527376137       All      -9.172261820307872e-05     1.0101124676911575e-05     -0.00038333334173686425    1.6060936502293125e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_I                  7799.73250294146      All      -5.5480062328508e-06       2.5890711147568095e-06     2.0634704417400278e-05     3.5713458803880944e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_V                  5303.76349880314      All      5.650904209711759e-05      3.434085838712297e-05      -3.4943520393982864e-05    -8.780275571325821e-06     
Lambda        Linear_AB11_off|Krisciunas|Bessell12_I          7785.043733948006     All      -5.946696582387976e-06     2.0794427791520668e-06     1.2617595075592333e-05     3.1774429599010397e-06     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_I    7734.2117250036545    All      -6.3394758047029915e-06    9.9802079865401e-07        3.457665069302043e-07      2.4054940113376024e-06     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_R    6415.192027258608     All      -0.00011805896555767633    -6.4775110704276745e-06    -0.00017452920453377412    2.85573138326129e-05       
Lambda        Linear_AB11_off|LOSS|LOSS_K2_R                  6291.999283011101     All      -0.00016413663767583174    -9.300989512495788e-06     -0.00024213288769163113    3.9629785846769544e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_U    3565.3902217020172    All      -0.00028837634486918797    0.00011391382071652212     -0.0002397823462375603     0.00012033875705249652     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_B    4290.455060991466     All      -0.00010993781017729824    3.174470442454669e-05      -0.0003413510033546558     3.091772871083293e-05      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_V    5284.557546804049     All      -5.824887807251046e-06     5.9513920580081706e-06     -0.0005694555078089189     -2.157626211875006e-05     
Lambda        Linear_AB11_off|Krisciunas|Bessell12_R          6406.397943190441     All      -6.601460783710805e-05     -5.278170311194078e-06     -8.074844576940482e-05     1.6180423601141862e-05     
Lambda        Linear_AB11_off|Krisciunas|Bessell12_V          5360.576204961122     All      -2.8178308289757004e-05    -8.985788749695231e-06     -0.0006284796047848394     -2.1794523229791933e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_B                  4325.435802773231     All      -9.250810381346843e-05     3.123339886565963e-05      -0.00020399780259951217    3.120319339511234e-05      
MWEBV         All|All|All                                     All                   All      -0.9338149915604754        -3.937898806336282         0.06941295644677936        -0.9754313484503576        
Redshift      All|All|All                                     All                   All      3.7208258126429565         0.07449239125918439        0.33484263318137586        -1.17278826730877          
