#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|DECam|DECam_i          5098.780887044771     All      0.6534003413966435        0.35582597020713536        0.6891844465011537        -0.066174626064772        
Zeropoint     AB|DECam|DECam_z          5975.021299393459     All      1.4603623104252617        0.11469510448058884        0.8691783973131334        -0.39954064023217384      
Zeropoint     AB|DECam|DECam_g          3157.8061227035505    All      -0.33940459523301764      0.09024499036556222        -0.2677484858397111       0.12800261988226042       
Zeropoint     AB|DECam|DECam_r          4196.958927805029     All      -0.785170044191525        0.44028145620416126        -1.2783264201159106       0.3421240328468425        
Check         All|All|All               All                   All      0.9891880123973625        1.0010475212574477         0.012287937858665332      0.004411386432157105      
Lambda        AB|DECam|DECam_i          5098.780887044771     All      -5.498518706817797e-05    -5.498190880559187e-05     -0.0014477338968628107    -6.460464677772606e-05    
Lambda        AB|DECam|DECam_z          5975.021299393459     All      -0.0003840089424652953    -5.9661372190160754e-05    -0.0006189049714383647    7.803178800914611e-05     
Lambda        AB|DECam|DECam_g          3157.8061227035505    All      -0.0008524055445529878    0.00016856447627785129     -0.0009792249395966495    0.0002888652130638756     
Lambda        AB|DECam|DECam_r          4196.958927805029     All      -0.0005569637448037568    0.00022682414716249533     -0.0012328680320941113    0.00020028826435484007    
MWEBV         All|All|All               All                   All      -0.33290800597299675      -2.20597666763247          0.4203170165122144        -0.5913632672303909       
Redshift      All|All|All               All                   All      5.126792879451838         0.3817069667324091         8.613360570285398         -1.1612558679447327       
