#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                   dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5269.618359505966    All      -1.9027640877507586      1.9327117173265407         -0.570968774487346        1.223860939079001          
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6310.373195863933    All      2.8992983215350145       -0.9292480336453579        0.5671010007811894        -1.2217763902519054        
Check         All|All|All                            All                  All      0.996534233784256        1.0034636836811828         -0.003867773706156541     0.0020845488270955226      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5269.618359505966    All      -0.000254379507568571    -0.00010755447714954681    -0.003335495897152827     -0.0001010221197038805     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6310.373195863933    All      0.0002584083588636203    -0.0001487167375214886     -0.0007249655490775445    -0.00016496592071945686    
MWEBV         All|All|All                            All                  All      -0.5316677472186075      -3.0210518100401984        -0.011979227735725573     -0.8114088654792786        
Redshift      All|All|All                            All                  All      -1.1828349267599467      2.3927097726685886         4.195107727059799         1.3518809309562632         
