#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                    
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5269.618359505966    All      -1.9445673785517934       1.9422232507624315         -0.5095719050897101       1.2433157258361351       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6310.373195863933    All      2.9412934630010925        -0.9384825710855083        0.5069090213265187        -1.2411496736693381      
Check         All|All|All                            All                  All      0.9967260844492992        1.0037406796769233         -0.0026628837631913482    0.0021660521667969945    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5269.618359505966    All      -5.472316244541721e-05    -0.00013007055571918877    -0.0018394455368746245    -0.000106629130887816    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6310.373195863933    All      -0.0007530854652513884    0.00020418872003953164     -0.0004491294165780602    0.0002917731124494221    
MWEBV         All|All|All                            All                  All      -0.5360096121020157       -3.019045971287504         -0.008116489804582341     -0.8091688333188001      
Redshift      All|All|All                            All                  All      4.112402584768738         1.0601064137501837         6.753626844152239         -0.6928499326937126      
