#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|CNIa02|SDSS_r                      6066.539915777159    All      1.0534565513507517         -0.13361257700736928      -0.1023791451449041       -0.39123617955797163      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4300.696517706922    All      -1.028999121343165         0.7293596780498568        0.3668322554903458        0.5891253480114655        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5380.397607414188    All      0.3564487932475142         0.4801899100955076        -1.1415859539217976       -0.010637185289671947     
Zeropoint     AB|CNIa02|SDSS_i                      7356.739971069427    All      0.6174092615083939         -0.07763129118210088      0.8869911379064455        -0.18681523348446638      
Check         All|All|All                           All                  All      0.9983154847634949         0.9983057199558942        0.009858294330089556      0.00043674967935558584    
Lambda        AB|CNIa02|SDSS_r                      6066.539915777159    All      -0.00011746893860516547    8.226604392521528e-06     -6.953732062368802e-06    4.063286049027442e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4300.696517706922    All      -0.00029663946763084205    3.713800970242325e-05     -0.001258632647225435     5.2555310965270604e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5380.397607414188    All      3.0728543135987575e-05     1.3673297395038808e-05    -0.0003651528680929422    -2.185055005527096e-05    
Lambda        AB|CNIa02|SDSS_i                      7356.739971069427    All      -0.00013993749663387207    3.5546242166129436e-05    -6.514427352572656e-05    5.425373724005765e-05     
MWEBV         All|All|All                           All                  All      -0.8643101702407803        -4.004011636449878        0.1538232446180232        -1.0158396357317356       
Redshift      All|All|All                           All                  All      5.459979715215105          -0.5687085180213991       -4.069109743260523        -2.1453277746134187       
