#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|CNIa02|SDSS_r                      6066.539915777159    All      1.0972462577429394         -0.1614818503969495       -0.255663086764688         -0.4214182250901144       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4300.696517706922    All      -0.9704471985781953        0.7350007314172124        0.5619432087853659         0.5805974428661247        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5380.397607414188    All      0.227433325346592          0.5198851209748057        -1.2112180588898884        0.041210072169478494      
Zeropoint     AB|CNIa02|SDSS_i                      7356.739971069427    All      0.6423483283128689         -0.09452992544014549      0.9094355639094749         -0.19944155749101508      
Check         All|All|All                           All                  All      0.996580712824205          0.9988740765549231        0.0044976270402643515      0.0009477324544737153     
Lambda        AB|CNIa02|SDSS_r                      6066.539915777159    All      -1.6272015702699767e-05    -4.491342379215261e-06    -4.9350839163930096e-05    1.6350515824189196e-06    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4300.696517706922    All      -0.0003995020477910744     0.00011956027873862776    -0.001201418793176961      0.00011546187357148486    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5380.397607414188    All      4.232933101690958e-05      3.411032357401367e-05     -0.0007055256586821283     -3.416157090630212e-05    
Lambda        AB|CNIa02|SDSS_i                      7356.739971069427    All      -0.00011178435311667728    2.9766424209643442e-05    -5.267374820464552e-05     4.3757157596835275e-05    
MWEBV         All|All|All                           All                  All      -0.8516658677174731        -4.009663451920709        0.1614520790259356         -1.0214588434451735       
Redshift      All|All|All                           All                  All      5.264075501218223          -1.017949693340281        -1.8356537202464878        -2.1281790730398287       
