#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                    
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4083.8734558035194    All      -2.946522939140786        0.5494919501323636         -0.4219110940980414       1.119939110547791        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    4890.442501270392     All      3.938256375216481         0.4526243912698291         0.4183538753150398        -1.116715799032082       
Check         All|All|All                            All                   All      0.9917334360756951        1.0021163414021927         -0.003557218783001581     0.003223311515708982     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4083.8734558035194    All      -0.0012932467103551407    0.0001355689150762611      -0.0017662835026467725    0.000386591135364428     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    4890.442501270392     All      -0.0006797770581405322    -0.00010864812468791218    -0.0005079522208454515    0.0001633679085331574    
MWEBV         All|All|All                            All                   All      -0.048761057732951585     -2.0900837963555574        0.02839779869527777       -0.6636587101633071      
Redshift      All|All|All                            All                   All      4.642408709729897         0.3991493480320685         3.436181454761759         -1.228828176676048       
