#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4083.8734558035194    All      -2.8416616642931385       0.5175979255207963         -0.6892638456580391        1.063462685002861         
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    4890.442501270392     All      3.835287217466489         0.48486019918723144        0.6947804592189133         -1.0603394447447123       
Check         All|All|All                            All                   All      0.9936255531733511        1.0024581247080278         0.005516613560874184       0.003123240258148696      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4083.8734558035194    All      -0.0006019402287740115    -2.6430861423601958e-05    -0.0019179423649654998     0.00010187337568408342    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    4890.442501270392     All      -0.0011674222818296002    -0.000174245237178517      -0.00048002821268106934    0.0003020889835549761     
MWEBV         All|All|All                            All                   All      -0.06125860745896228      -2.086331854198775         0.04873174089463639        -0.6574583056147387       
Redshift      All|All|All                            All                   All      5.441850926885298         1.295510799879196          7.918966448292997          -0.9972122878143197       
