#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|MEGACAMPSF|r           4976.4586482513705    All      -0.1781581446616628        0.7101487804323625         -0.19501067587819787       0.2806483591201017        
Zeropoint     AB|MEGACAMPSF|z           7012.515488230665     All      0.3657828442998397         -0.04951330948212984       0.21269963691930371        -0.12578381222280943      
Zeropoint     AB|MEGACAMPSF|g           3899.616385468719     All      -0.6906812357629769        0.3904421391869306         -0.016837480550871354      0.35140607169851407       
Zeropoint     AB|MEGACAMPSF|i           6084.118873239367     All      1.4950147265738383         -0.05051056849723068       -0.0007354647483085757     -0.5034612552904193       
Check         All|All|All               All                   All      0.9919581904490382         1.0005670416399326         0.00011601574192591439     0.002809363305387058      
Lambda        AB|MEGACAMPSF|r           4976.4586482513705    All      -0.00036783491769507785    -0.00015683345839126475    -0.0029405292043820797     -6.249219599235564e-05    
Lambda        AB|MEGACAMPSF|z           7012.515488230665     All      -0.00018325009499067367    2.1322729567088627e-05     -0.00016527267821027543    5.926073864591354e-05     
Lambda        AB|MEGACAMPSF|g           3899.616385468719     All      -0.0006874267693029034     0.0003428434833641951      -0.00025172133465626743    0.00032435974912677193    
Lambda        AB|MEGACAMPSF|i           6084.118873239367     All      -0.0003167112223979154     -2.174066350854389e-05     -0.0005351143987636376     7.220191734812808e-05     
MWEBV         All|All|All               All                   All      -0.5091745138325887        -3.030464649815201         0.01270127268769162        -0.820700345805993        
Redshift      All|All|All               All                   All      7.242509377134262          -0.06595887308868953       11.49205606890533          -1.8677708693103978       
