#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                   ds/dP                     dc/dP                      
Zeropoint     AB|MEGACAMPSF|z           5405.467149722808     All      0.8369293166395619         0.08662534042862546      0.01731810360876551       -0.243625861894637         
Zeropoint     AB|MEGACAMPSF|r           3833.935712799836     All      -1.2494098933785287        0.30540514804560104      -0.5320133527211002       0.48271309840434495        
Zeropoint     AB|MEGACAMPSF|i           4688.6555923546675    All      1.5538218835235822         0.5951625349016609       0.4722347021088702        -0.29119322294234723       
Zeropoint     AB|MEGACAMPSF|g           3002.5740426908096    All      -0.15783023216837783       0.013491614449101519     0.053803438610489085      0.05820616211958188        
Check         All|All|All               All                   All      0.9835110746162375         1.000684637824989        0.011342891607024619      0.006100175686942599       
Lambda        AB|MEGACAMPSF|z           5405.467149722808     All      8.032212407782844e-05      5.250574343169981e-07    2.242382654193597e-05     -2.4991857461650232e-05    
Lambda        AB|MEGACAMPSF|r           3833.935712799836     All      -0.0017175368447145765     0.0003455346093769845    -0.001471734962641817     0.0006063334736839193      
Lambda        AB|MEGACAMPSF|i           4688.6555923546675    All      -0.00021085251405994517    -9.34328062921837e-05    -0.0007748690089181644    3.6686167902192037e-06     
Lambda        AB|MEGACAMPSF|g           3002.5740426908096    All      -0.0005515591426646055     4.392803499517382e-05    0.00014152031334908977    0.00020028516631550637     
MWEBV         All|All|All               All                   All      -0.333841509984679         -2.048898772740415       0.15001308960906345       -0.5519561789834836        
Redshift      All|All|All               All                   All      2.4946227971871373         -0.2637251953656161      -0.5367262241996906       -0.9224363144195801        
