#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B                   4273.888080533751    All      -0.827407457553394         0.5639076805186605        0.46670352095241785       0.4740239480268846        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7678.328876830701    All      0.05823940624133568        -0.019992093293819124     -0.08848038179609025      -0.029431046202351523     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6400.27135344131     All      0.2589452289363795         -0.03841350672084687      -0.5959837462879086       -0.12345554035787293      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4288.459339812472    All      -0.2277108716085112        0.13463032236984418       -0.27489270396058524      0.10575924870871506       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R                   6249.86691256683     All      1.0976878885999963         -0.10426481599035142      0.7033422371757159        -0.3601286052434119       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5265.267201877023    All      -0.08216303698539022       0.1454569166275732        -1.6065807347957608       0.00244898793027498       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I                   7727.882236686703    All      0.3355185895998967         -0.0532854175530062       0.46604304518334316       -0.10584889575335014      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V                   5267.874511478268    All      0.38472022679847007        0.36810046871877944       0.9310573299034036        0.03613521046158815       
Check         All|All|All                                      All                  All      0.9978299740287829         0.9961395546768337        0.0012085663745355912     -0.000496692429523736     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B                   4273.888080533751    All      -0.00047592392267710405    0.00015183790683108295    -0.0009205449850346154    0.00016340298584965627    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7678.328876830701    All      -1.3924165988353007e-05    3.9248586721108905e-06    1.1333251963095741e-05    6.319765530751797e-06     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6400.27135344131     All      -4.92994119234679e-05      6.156955573114988e-06     9.488613399820461e-05     2.2298295718025058e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4288.459339812472    All      -0.00011017210762249023    2.2108000607864212e-05    -0.0003860164145833797    2.586184346333271e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R                   6249.86691256683     All      -0.00033692669007536754    2.160826208015841e-05     -0.0005088285413575979    9.407994853079317e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5265.267201877023    All      -1.1116125810380214e-05    4.086798793421101e-06     -0.0004984710466112245    -1.729238071072849e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I                   7727.882236686703    All      -7.488185163841347e-05     1.3599531220524142e-05    -8.13564771393172e-05     2.5190731430244677e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V                   5267.874511478268    All      6.236201197753013e-05      3.269142433272423e-05     -0.0007701867008282809    -4.403458164764834e-05    
MWEBV         All|All|All                                      All                  All      -0.8150541843561805        -3.96557165360214         0.08474418720865994       -1.022445444820317        
Redshift      All|All|All                                      All                  All      6.139701880714691          -0.07743338169330372      9.073952289129505         -1.6201966771326557       
