#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B                   4273.888080533751    All      -0.7803361858351024        0.6129485559871028        0.7139940781395904         0.4857009545691626         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7678.328876830701    All      0.05712326983588434        -0.019501577401115355     -0.07243839074577707       -0.02819182630917627       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6400.27135344131     All      0.1622059282013376         -0.037228445106585184     -0.6759883002329659        -0.0951285897198173        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4288.459339812472    All      -0.14729354379342036       0.1151416887084089        -0.14034955476474043       0.079220633061583          
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R                   6249.86691256683     All      1.1494412759668577         -0.14615291449189272      0.20028277671326755        -0.4130799511560368        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5265.267201877023    All      -0.09628392272763558       0.10718296274756511       -1.4772299867007899        0.00035386882644705686     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I                   7727.882236686703    All      0.4129649878631516         -0.08115053126935834      0.5271737797693854         -0.13742433592967562       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V                   5267.874511478268    All      0.24034307191216486        0.4457993593758758        0.9344301278105149         0.1086231970598539         
Check         All|All|All                                      All                  All      0.9981648814232378         0.9970390985500011        0.009874529988485037       7.395040234059458e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B                   4273.888080533751    All      -0.0007387731614488958     0.0003711936717031234     -0.0007117157730556622     0.00032979210822260376     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7678.328876830701    All      -1.1234341567310783e-05    4.256768311911798e-06     1.863407184342221e-05      5.8775171732154475e-06     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6400.27135344131     All      1.925173326546535e-06      1.7670631263167321e-06    0.0001050677331965295      4.637188680030861e-06      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4288.459339812472    All      -0.00010360862665841148    4.172482036429183e-05     -0.0003137584300654896     3.333828733020561e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R                   6249.86691256683     All      -0.00017171789656121635    1.497399961662741e-05     -0.00019607647144417786    5.206170019217961e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5265.267201877023    All      -4.566463072552864e-05     2.0359767876000892e-05    -0.0009083807394017589     -1.9030541594954867e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I                   7727.882236686703    All      -7.379143333754692e-05     1.1124057433811908e-05    -0.00013279544649619907    2.1733718111198554e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V                   5267.874511478268    All      3.699477122710548e-05      0.00016550920507640802    -0.0006225509341074994     1.4079790187809484e-05     
MWEBV         All|All|All                                      All                  All      -0.7870598714155523        -3.9756934088302387       0.1444947136570729         -1.0321947106331164        
Redshift      All|All|All                                      All                  All      5.705202460086944          -1.6978462755265156       6.96469635292436           -2.100614115720789         
