#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|DECam|DECam_z          6838.74604315565     All      0.7059933505748321         0.0990012567315901         0.9002030945764197         -0.15754536478380216       
Zeropoint     AB|DECam|DECam_g          3614.285714577085    All      -0.6853665380065279        0.42402201248972204        0.2419674355179945         0.3721622440267802         
Zeropoint     AB|DECam|DECam_i          5835.839885580786    All      0.7702166941538208         0.13997594739691976        -0.7134859529019121        -0.23712974667897818       
Zeropoint     AB|DECam|DECam_r          4803.654216885726    All      0.20476239844002458        0.33543166742031616        -0.4283229268015342        0.02344919479103629        
Check         All|All|All               All                  All      0.9956059051621495         0.9984308840385481         0.00036165039096797136     0.0009363273550361748      
Lambda        AB|DECam|DECam_z          6838.74604315565     All      -0.0005568059815998889     -8.766535982981955e-05     -0.0009837289545263437     0.00010891522964168084     
Lambda        AB|DECam|DECam_g          3614.285714577085    All      -0.001145132944658261      0.0006251991828497375      -0.00014914595724099537    0.0005699997170573232      
Lambda        AB|DECam|DECam_i          5835.839885580786    All      -8.892068242595455e-05     -6.8941416656516365e-06    0.0003266823380928129      4.1297075270038535e-05     
Lambda        AB|DECam|DECam_r          4803.654216885726    All      -0.00013247914679814088    -1.8217221147812856e-05    -0.0013606544589685227     -2.3500890953863053e-05    
MWEBV         All|All|All               All                  All      -0.48698940691084847       -2.715567243249062         0.09164134179385523        -0.7218315871376076        
Redshift      All|All|All               All                  All      6.329890022949129          -0.050937525879746204      8.356972666319704          -1.705512147733901         
