#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|DECam|DECam_z          6838.74604315565     All      0.6988692299442342         0.10332283446494728       0.7740964929276561        -0.15944468271928275       
Zeropoint     AB|DECam|DECam_g          3614.285714577085    All      -0.7377276077593902        0.4331492465452058        0.11348709554224179       0.3864575199980076         
Zeropoint     AB|DECam|DECam_i          5835.839885580786    All      0.7680143903156216         0.14815114220834147       -0.6503440821387763       -0.23093172226719624       
Zeropoint     AB|DECam|DECam_r          4803.654216885726    All      0.2663111237915546         0.3140996107781291        -0.23666632611383243      0.005004951240709932       
Check         All|All|All               All                  All      0.99546713629202           0.9987228339966236        0.0005731802172892486     0.0010860662522385323      
Lambda        AB|DECam|DECam_z          6838.74604315565     All      -0.0005703941149673422     -8.98101478029149e-05     -0.0007907659669581595    0.0001212537555997262      
Lambda        AB|DECam|DECam_g          3614.285714577085    All      -0.0010594587473936013     0.0006406270478611117     0.0003769479268144005     0.0005705953293903211      
Lambda        AB|DECam|DECam_i          5835.839885580786    All      -0.00010359201890957626    -4.412593229081927e-06    0.00042391677144340453    5.122346038053445e-05      
Lambda        AB|DECam|DECam_r          4803.654216885726    All      -9.945268630336845e-05     -4.203362727363206e-05    -0.0013503190620543061    -4.1555261391434394e-05    
MWEBV         All|All|All               All                  All      -0.5018769197067647        -2.7158108408736226       0.029032784021665314      -0.7198555145784657        
Redshift      All|All|All               All                  All      6.030136638524253          0.05677469639717714       8.102768863096577         -1.5841311426328484        
