#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V    5376.82833652071     All      0.4910426548389384        0.45744489128169974       0.021745526427475504       -0.00997349395331418       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B    4445.836659551257    All      -1.1711090552481456       0.8228154508604923        -0.14591381111004484       0.6429753465754273         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R    6356.035857227967    All      1.283554504019342         -0.20338331497304907      -0.05063973435623339       -0.4866043852114642        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I    7875.272852380868    All      0.39526683299783055       -0.07856058696158463      0.17726822134319942        -0.14643051258481984       
Check         All|All|All                       All                  All      0.9987549366079653        0.9983164402075584        0.002460202304396697       -3.3045174170881486e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V    5376.82833652071     All      9.784579094013115e-05     -8.940102670458128e-05    -0.0013152894532725474     -0.00011968777613780178    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B    4445.836659551257    All      -0.0005098600317456365    5.5477656306012945e-05    -0.0016280283665744944     0.00011149765531952563     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R    6356.035857227967    All      -0.0002912280141999879    3.520096878204527e-05     -0.00012288174687625033    0.0001008450109641651      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I    7875.272852380868    All      2.7223924468219374e-06    -7.350456719409731e-07    1.8459972190922656e-05     -3.024175663213376e-07     
MWEBV         All|All|All                       All                  All      -0.8488891477748162       -4.107499651183399        0.06067250365364559        -1.0587291108820958        
Redshift      All|All|All                       All                  All      3.3898201414802687        0.31634556198945063       0.11080145926580026        -0.9961872246160924        
