#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4376.3453393006175    All      -2.628112845464386        0.933085103451603         -0.5045958669458116       1.1374815358776589        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5240.6778709408745    All      3.6250211927241627        0.06895829401969422       0.5028774032097927        -1.1358855682295528       
Check         All|All|All                            All                   All      0.996908347259777         1.0020433974712972        -0.0017184637360189159    0.0015959676481061003     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4376.3453393006175    All      -0.0006089862045716291    8.619186693368862e-06     -0.0022080735083368926    0.00010263821518659405    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5240.6778709408745    All      0.001152617971408448      -3.532056868649814e-05    -0.001139049899977523     -0.0004377812300950706    
MWEBV         All|All|All                            All                   All      -0.08572210083754683      -2.3507305094383923       0.00022208791360919664    -0.7377778444810036       
Redshift      All|All|All                            All                   All      1.5235444361328148        -0.36720853453235947      1.0462527779585653        -0.5691909902556518       
