#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                    dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4376.3453393006175    All      -3.0262402975957983       0.8892313417916853        -1.9397161635064053      1.1888373045560605        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5240.6778709408745    All      4.014898046731675         0.11259884355716565       1.8876226356712822       -1.1868713036115779       
Check         All|All|All                            All                   All      0.9886577491358775        1.001830185348851         -0.05209352783512311     0.0019660009444826265     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4376.3453393006175    All      -0.0009369003361304167    5.0049662549173255e-05    -0.002500892132520159    0.0002098787545681851     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5240.6778709408745    All      0.0017317314080796996     1.310145537794793e-05     0.0002814186741433144    -0.0005472558939231654    
MWEBV         All|All|All                            All                   All      -0.0885067565427442       -2.3513179216475777       -0.01021283644548343     -0.7375277927354609       
Redshift      All|All|All                            All                   All      1.671965791654381         -0.6526889647332723       0.5513321372212332       -0.7326131119180276       
