#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|MEGACAMPSF|g           3214.6032934584296    All      -0.3515569366058986        0.057091482176652164       0.09290920910334925        0.13725634541684353       
Zeropoint     AB|MEGACAMPSF|i           5016.66266751068      All      1.585731456288956          0.46535234090523403        1.5218804282901572         -0.2970298034879382       
Zeropoint     AB|MEGACAMPSF|z           5784.776290868114     All      0.8226399128377377         -0.009423600110736174      -0.6202003220226775        -0.29870715213862564      
Zeropoint     AB|MEGACAMPSF|r           4103.5662043196       All      -1.0776150225897032        0.4857641351831532         -0.9978680803430935        0.46471375594978914       
Check         All|All|All               All                   All      0.9791994099310917         0.9987843581543032         -0.0032787649722645362     0.006233145740068835      
Lambda        AB|MEGACAMPSF|g           3214.6032934584296    All      -0.0009916488430939798     0.0001244990983846277      -0.00020638925618767138    0.0003543559001240706     
Lambda        AB|MEGACAMPSF|i           5016.66266751068      All      -0.0001060142185732472     -5.4550606001575877e-05    -0.0004899558593656304     -5.101088000462562e-06    
Lambda        AB|MEGACAMPSF|z           5784.776290868114     All      -0.00011487737797412507    2.12118747606536e-06       9.493783305468775e-05      4.234692136113442e-05     
Lambda        AB|MEGACAMPSF|r           4103.5662043196       All      -0.0006209794977049391     0.00026118535306902913     -0.0008151494647476018     0.000250973737493012      
MWEBV         All|All|All               All                   All      -0.3190691766338789        -2.2791604085353967        0.19421923598339522        -0.6297990868312028       
Redshift      All|All|All               All                   All      5.727288256510369          0.44302399763278544        1.3896536196271336         -1.6592448576510315       
