#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|MEGACAMPSF|g           3214.6032934584296    All      -0.2816852791708934       0.023756532258722984      -0.21712982930726654      0.08980293967899705       
Zeropoint     AB|MEGACAMPSF|i           5016.66266751068      All      1.601801432309661         0.4770779920526991        1.6766207565802327        -0.2915395428682313       
Zeropoint     AB|MEGACAMPSF|z           5784.776290868114     All      0.912038440152679         0.004743551346031438      -0.3407851338356471       -0.3107434697531372       
Zeropoint     AB|MEGACAMPSF|r           4103.5662043196       All      -1.2481317848097038       0.48908102094724626       -1.1777425525486496       0.5133101224943926        
Check         All|All|All               All                   All      0.984022808481743         0.9946590966046998        -0.05903675911133055      0.0008300495520210394     
Lambda        AB|MEGACAMPSF|g           3214.6032934584296    All      -0.0008886906508569005    3.084576982464689e-05     -0.0012900717277300165    0.00024195328794219387    
Lambda        AB|MEGACAMPSF|i           5016.66266751068      All      2.1897301205495615e-05    -2.044110728275812e-05    -0.000464309888156767     -3.451103034714359e-05    
Lambda        AB|MEGACAMPSF|z           5784.776290868114     All      -8.529510121744307e-05    7.589670550255603e-07     4.705476473210964e-05     3.0130479166373827e-05    
Lambda        AB|MEGACAMPSF|r           4103.5662043196       All      -0.00092471534440046      0.0003238960873717694     -0.0011452743141018489    0.0003556054888404808     
MWEBV         All|All|All               All                   All      -0.2680785034118467       -2.267953061343597        0.37443877106467793       -0.634715454819508        
Redshift      All|All|All               All                   All      5.934292426662014         0.289428782024892         4.273597540217539         -1.6480067692597133       
