#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            5115.268015129218     All      0.831599670069603          0.40813136170410047        0.3866292228406283         -0.12068407323659168      
Zeropoint     AB|SDSS|SDSS_z            7375.03602280873      All      0.09728775299446443        0.00058845501555993        0.06125424614217458        -0.028764646989389766     
Zeropoint     AB|SDSS|SDSS_i            6203.156526138714     All      1.1422147773335585         0.025715614554933097       -0.17546253238776985       -0.37151059599861563      
Zeropoint     AB|SDSS|SDSS_g            3914.6429009951908    All      -1.0730483166463978        0.5641672631032435         -0.2719262213609865        0.5211601587697675        
Check         All|All|All               All                   All      0.9980538837512283         0.998602694377837          0.0004947152340464833      0.0002008425451703877     
Lambda        AB|SDSS|SDSS_r            5115.268015129218     All      -0.00011818151427675684    -5.3378780509742195e-05    -0.002154568000270718      -7.504009194464943e-05    
Lambda        AB|SDSS|SDSS_z            7375.03602280873      All      -2.0604740762850295e-05    -1.5336744086189786e-06    -3.5170705954431574e-05    4.64256665748345e-06      
Lambda        AB|SDSS|SDSS_i            6203.156526138714     All      -0.0002773480941295214     -4.801968940607761e-05     -0.0007359474590727149     4.185785108484752e-05     
Lambda        AB|SDSS|SDSS_g            3914.6429009951908    All      -0.001079270315628196      0.0004930428835857478      -0.0007786025209008406     0.0004774086820360028     
MWEBV         All|All|All               All                   All      -0.5691265046252454        -3.2003629874084893        0.04623468162549125        -0.8550170460588116       
Redshift      All|All|All               All                   All      6.3037770327012765         0.6864554930295697         5.823198227162958          -1.5698838379642939       
