#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                   dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|MEGACAMPSF|z           4572.004272660733     All      1.3362073676749984       0.4527114502620222         1.0029845728072078         -0.24302509151087578       
Zeropoint     AB|MEGACAMPSF|i           3969.2250496811394    All      0.9439155369238345       0.6136761914943278         -1.2719014101853747        -0.16432893766283482       
Zeropoint     AB|MEGACAMPSF|r           3245.878478869393     All      -1.284534712180775       -0.06834590000508456       0.2677479437447976         0.40810106855658884        
Check         All|All|All               All                   All      0.9955881924180576       0.9980417417512655         -0.0011688936333693611     0.000747039382878234       
Lambda        AB|MEGACAMPSF|z           4572.004272660733     All      9.44411188184376e-05     3.381458715325298e-05      -0.00014683767562915145    -2.6300746979276345e-05    
Lambda        AB|MEGACAMPSF|i           3969.2250496811394    All      0.0007556876257199073    0.0005061461894821581      -0.0012997191506531997     -0.0001392843517515432     
Lambda        AB|MEGACAMPSF|r           3245.878478869393     All      -0.002665965673743733    -0.00015546283370812737    3.3933515555713215e-05     0.0008192676650380256      
MWEBV         All|All|All               All                   All      -0.5192970641929158      -1.6235456771973134        0.1598440828465923         -0.35255699467570506       
Redshift      All|All|All               All                   All      4.08450189841842         0.3843511142518352         0.0002831769343411786      -1.2052482048620783        
