#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            7101.294705643304     All      0.8802964824892516         -0.6354451544200224        2.589712422472024         -0.3781599462640413       
Zeropoint     AB|SDSS|SDSS_z            8442.84745065115      All      1.2945298104785192         0.5205330656555596         2.424185619891054         -0.14393593319149356      
Zeropoint     AB|SDSS|SDSS_r            5855.893772907087     All      -0.6952460809266895        -0.09268249559264419       -4.82186465726087         -0.018902890133776537     
Zeropoint     AB|SDSS|SDSS_u            3408.0698308718765    All      0.19165163778199013        0.014853092810440671       1.9541768865070603        0.029616836638409718      
Zeropoint     AB|SDSS|SDSS_g            4481.4334105841735    All      -0.7062031916260346        1.1589510684143711         -1.9800776683697563       0.5191803320761398        
Check         All|All|All               All                   All      0.9650286581970368         0.9662095768677048         0.16613260323951118       0.007798399125238165      
Lambda        AB|SDSS|SDSS_i            7101.294705643304     All      -0.00020501710543417755    -0.00017271619258141786    -0.0002819477661310741    -2.060563878565954e-06    
Lambda        AB|SDSS|SDSS_z            8442.84745065115      All      0.00023165637846523637     9.12671057986442e-05       0.00044189801216982784    -2.60095260584123e-05     
Lambda        AB|SDSS|SDSS_r            5855.893772907087     All      0.00019283044342203242     3.187344956975394e-05      0.001284371269060516      4.886602608798775e-06     
Lambda        AB|SDSS|SDSS_u            3408.0698308718765    All      0.00025878272196724027     9.898210802370508e-06      0.0027624208641111097     4.2204282481547984e-05    
Lambda        AB|SDSS|SDSS_g            4481.4334105841735    All      -0.0006768752022896665     0.0010082497897834811      -0.0017358906500397379    0.0004714358218298709     
MWEBV         All|All|All               All                   All      -0.11652965137924243       -3.7185382138665624        2.7858819576336047        -1.0489715746877903       
Redshift      All|All|All               All                   All      6.9175605424153535         -2.5449062627257213        3.1328906938534016        -2.942430221525459        
