#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            7715.072834146212     All      0.09313873915224802        -0.0007956838725675652    0.08175839032398269       -0.026949030472452756     
Zeropoint     AB|SDSS|SDSS_i            6489.162121074396     All      0.963991234373613          0.04888612177573748       0.9304998512622786        -0.25655590650649623      
Zeropoint     AB|SDSS|SDSS_r            5351.114920774395     All      0.6272229701471579         0.2379425267028168        -2.4775058375303916       -0.23736115413224915      
Zeropoint     AB|SDSS|SDSS_g            4095.1332315457885    All      -0.6493040736443826        0.6630483074541615        0.9568041017213647        0.47017411825223815       
Zeropoint     AB|SDSS|SDSS_u            3114.293740674542     All      -0.04868464882232679       0.045264586750803915      0.4277717511645074        0.049691845434093884      
Check         All|All|All               All                   All      0.9863642212063095         0.9943458588109522        -0.0806717430582582       -0.0010001274248660486    
Lambda        AB|SDSS|SDSS_z            7715.072834146212     All      -5.415673756936645e-06     9.08806442424418e-08      -6.851410255176002e-06    1.4879189564234446e-06    
Lambda        AB|SDSS|SDSS_i            6489.162121074396     All      -7.548748284654254e-05     4.95000072149805e-06      0.00018781731522420176    3.458255887744503e-05     
Lambda        AB|SDSS|SDSS_r            5351.114920774395     All      0.00017334878478522865     5.761414482092959e-05     -0.0008867695856820465    -7.727103361652752e-05    
Lambda        AB|SDSS|SDSS_g            4095.1332315457885    All      -0.0008160504708084151     0.00040334190263975367    -0.0025387476964675295    0.00028390356320264404    
Lambda        AB|SDSS|SDSS_u            3114.293740674542     All      -0.00010832099591912711    4.2222346309691735e-05    3.928231748290532e-05     5.0789908704878465e-05    
MWEBV         All|All|All               All                   All      -0.8197984448906732        -3.340885863631904        0.20724249817714036       -0.8119528327332126       
Redshift      All|All|All               All                   All      5.03464779082268           -1.0015601679185693       3.2804006153263954        -1.8198023043783496       
