#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            6167.206571577065    All      1.0755987325847205        0.09154295556630387        0.17369304132643926       -0.3127882183572295       
Zeropoint     AB|SDSS|SDSS_z            7332.294523574705    All      0.05878950019148014       -0.0012376332344743446     -0.01150201524042771      -0.0200660943041997       
Zeropoint     AB|SDSS|SDSS_g            3891.955865157412    All      -1.176646920399635        0.5242324646486551         -0.43308415359795127      0.5347058162883944        
Zeropoint     AB|SDSS|SDSS_r            5085.622841427787    All      1.0372409437622518        0.3705110117914856         0.18067092763667247       -0.209113359897245        
Check         All|All|All               All                  All      0.9949822561388175        0.9850487987719703         -0.09022219987526725      -0.007261856270279754     
Lambda        AB|SDSS|SDSS_i            6167.206571577065    All      -5.262294541669309e-05    -1.1874095475502035e-05    -7.896534205358737e-05    9.749380482035697e-06     
Lambda        AB|SDSS|SDSS_z            7332.294523574705    All      -2.292709530243647e-05    -1.8505772092303791e-06    -5.932033308414193e-06    6.600595938095553e-06     
Lambda        AB|SDSS|SDSS_g            3891.955865157412    All      -0.001047549471534462     0.00038237106181669066     -0.0011817160678115125    0.00041303760001986175    
Lambda        AB|SDSS|SDSS_r            5085.622841427787    All      8.963734020074458e-05     -2.630824608762003e-05     -0.0005522247734826515    -6.241054731449117e-05    
MWEBV         All|All|All               All                  All      -0.5827912650099973       -3.1654113267626016        0.03569306169293185       -0.8396515023780693       
Redshift      All|All|All               All                  All      5.3965465073991705        1.4707642622450834         -0.3253218725015383       -1.2932740526667097       
