#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            6167.206571577065    All      1.0705835897252487         0.050262151202495886       -0.04137157507823054      -0.33419848348810116       
Zeropoint     AB|SDSS|SDSS_z            7332.294523574705    All      0.09021956722480975        0.0017839012947717947      0.023022559193562775      -0.02777901476238432       
Zeropoint     AB|SDSS|SDSS_g            3891.955865157412    All      -1.1276057515289226        0.5492435522027606         -0.28936815879704986      0.5332918130216571         
Zeropoint     AB|SDSS|SDSS_r            5085.622841427787    All      0.9650568753854807         0.3970855558629083         0.30717406508413486       -0.17129917674464035       
Check         All|All|All               All                  All      0.9982542808066167         0.9983751605629365         -0.0005431095975827471    1.5138026531247295e-05     
Lambda        AB|SDSS|SDSS_i            6167.206571577065    All      -0.00016421797134238595    -2.9896450709503353e-05    -0.0001615626634307951    3.6543138678457226e-05     
Lambda        AB|SDSS|SDSS_z            7332.294523574705    All      -2.4590015036680238e-05    -8.179702418707006e-07     -8.412364083552532e-06    7.367931894254997e-06      
Lambda        AB|SDSS|SDSS_g            3891.955865157412    All      -0.0012591767524942092     0.0004213530493970754      -0.0019666536297257855    0.0004596411252830137      
Lambda        AB|SDSS|SDSS_r            5085.622841427787    All      0.00012787574145910235     5.0169352896441175e-05     -0.0002040308766704116    -3.4416488164986174e-05    
MWEBV         All|All|All               All                  All      -0.5617075951326456        -3.1661115029189446        0.11558153164780353       -0.8431821621988763        
Redshift      All|All|All               All                  All      5.419866824709044          0.7170305504464736         -1.4478021090670157       -1.5964772518582255        
