#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5128.319160160063     All      0.379550361212886          0.46680939401149146       -0.11891703093244166      0.023116416795068706      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3430.7901151537367    All      -0.17729170323321095       0.048866486787169094      0.11067982684799804       0.07860629521125595       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            5936.404904268692     All      1.1820630722070546         0.04991990028244686       -0.10458427036881268      -0.37344339314825253      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4198.101805697008     All      -0.5238937010475211        0.3044935216193423        -0.022756070465218547     0.26881747264271283       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4586.0329522113525    All      -0.35927133161960084       0.32558566742455497       -0.22028474247517416      0.2132501593892694        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7258.163991625156     All      0.4934420885168658         -0.1991365258010802       0.36025382450892707       -0.209519166241115        
Check         All|All|All                              All                   All      0.9945987860364738         0.9965384443239245        0.004391537115278066      0.0008277846489393448     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5128.319160160063     All      1.930589895261249e-05      0.00017847259736949254    -0.0013556084637557037    -8.648749549723568e-06    
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3430.7901151537367    All      -0.0005139154762884499     0.00011400797144636651    0.00040100095938040833    0.00022243015608141117    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            5936.404904268692     All      -0.0002322569211516546     1.4421898973966302e-05    -0.0008894711192209235    4.06583963493011e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4198.101805697008     All      -0.0003723012422981258     0.00012647689021157125    -0.0003800136978118933    0.0001455101810780025     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4586.0329522113525    All      -0.00018571367575374696    7.921905031599515e-05     -0.0005920104155404841    5.987859906863054e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7258.163991625156     All      -0.0001908330149372891     8.349337416242048e-05     -0.000887160989127325     4.976720963819741e-05     
MWEBV         All|All|All                              All                   All      -0.9330903486614832        -3.850977451610582        0.10088425762065922       -0.945949823991879        
Redshift      All|All|All                              All                   All      8.950340831486075          -1.5083790638680483       17.972179003797827        -2.6047333458742092       
