#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5128.319160160063     All      0.358270764448931          0.4834986729536084        -0.12045429424142866       0.03541552775035884        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3430.7901151537367    All      -0.17254237571345887       0.04599392476505315       0.08000456256418259        0.074754698876158          
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            5936.404904268692     All      1.230998147116685          0.04820988952136673       -0.06655702608472193       -0.38824318246544803       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4198.101805697008     All      -0.5405909228048453        0.30046608302018996       -0.04693117348626547       0.27186561402521725        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4586.0329522113525    All      -0.37039661307599875       0.3159843072017665        -0.1686620089282462        0.21605023617413538        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7258.163991625156     All      0.4886829828581866         -0.19775559921368924      0.32419376391316446        -0.20912835062403007       
Check         All|All|All                              All                   All      0.9944219828294999         0.9963972782482955        0.0015938237366848185      0.0007145437363913487      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5128.319160160063     All      8.731521840435469e-05      0.00020669437299911326    -0.0012223805961929105     -1.5663513708035886e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3430.7901151537367    All      -0.000540181464453212      0.00014191762634184647    0.00023456522408422717     0.00023264968289726307     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            5936.404904268692     All      -0.0001514094724120068     4.514348377506233e-05     -0.000806448068790699      2.8035690802196535e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4198.101805697008     All      -0.00044921063640406266    0.00017059578670373555    -0.00038278351922643077    0.00018480947262989486     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4586.0329522113525    All      -0.0002250355578103179     0.00011219362601667626    -0.0005673453110172607     8.45286241751236e-05       
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7258.163991625156     All      -0.00015531421729186886    8.060616589375898e-05     -0.0007470568245321013     4.35093153826482e-05       
MWEBV         All|All|All                              All                   All      -0.9238830264132138        -3.8568382293200365       0.08410840044749232        -0.9516066293307871        
Redshift      All|All|All                              All                   All      8.428567455133582          -2.0694119491853513       16.66466448091698          -2.675869827502706         
