#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_V    5394.966936817827    All      0.49869057959109786       0.3646148777676217         -0.2021709728352496       -0.05269482902342192      
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_I    7834.98861698113     All      0.4340595932380597        -0.06701024632338459       0.18626866394409186       -0.15490261648244422      
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_R    6447.498135671187    All      1.1092752959932484        -0.08383748889917442       0.042339801310658794      -0.38674665541135594      
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_B    4312.342174553029    All      -1.0436872602766174       0.7843743076200838         -0.02554246971897227      0.5943199509919225        
Check         All|All|All                                All                  All      0.9983382085457888        0.9981414501651464         0.00089502270052879       -2.414992529964355e-05    
Lambda        Linear_AB11_off|CalanTololo|Bessell12_V    5394.966936817827    All      6.559113877750223e-06     -1.3875823931958202e-05    -0.0008076733814816765    -4.269908503996682e-05    
Lambda        Linear_AB11_off|CalanTololo|Bessell12_I    7834.98861698113     All      -1.910318899414787e-05    6.528206790262633e-06      1.786754716800537e-05     9.146335422289003e-06     
Lambda        Linear_AB11_off|CalanTololo|Bessell12_R    6447.498135671187    All      -0.0003065501441346114    -1.051978119920863e-05     -0.0003439243258727211    8.107906524131597e-05     
Lambda        Linear_AB11_off|CalanTololo|Bessell12_B    4312.342174553029    All      -0.0002954090946091506    4.7806117740904804e-05     -0.0010218161703813078    6.619752345531473e-05     
MWEBV         All|All|All                                All                  All      -0.8240610938647857       -4.028252203921223         0.04199343869133944       -1.0418364850018644       
Redshift      All|All|All                                All                  All      3.9977836729081258        -0.42168080635054395       -1.0686875728597303       -1.4872555950294637       
