#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_V    5394.966936817827    All      0.6390563236567808         0.3564185523805108        -0.10814549890256764      -0.09689045753287356       
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_I    7834.98861698113     All      0.3937703921574852         -0.052670069562665844     0.22944922504548604       -0.1351810807455764        
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_R    6447.498135671187    All      1.1278308569483382         -0.0682742712776907       0.25430296558740517       -0.37826241757021317       
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_B    4312.342174553029    All      -1.160427960948216         0.7625014249228457        -0.36958185494239126      0.6098686227179003         
Check         All|All|All                                All                  All      1.0002296118143883         0.9979756364629999        0.006024836787932308      -0.0004653331307628017     
Lambda        Linear_AB11_off|CalanTololo|Bessell12_V    5394.966936817827    All      -6.895400465658877e-05     -4.056315473777293e-05    -0.0008965923211025405    -3.076296354144372e-05     
Lambda        Linear_AB11_off|CalanTololo|Bessell12_I    7834.98861698113     All      -2.670356095087017e-05     5.1701110533715815e-06    -5.565165228458024e-06    1.0133955820176873e-05     
Lambda        Linear_AB11_off|CalanTololo|Bessell12_R    6447.498135671187    All      -0.00037751005424165805    -6.32581251902295e-06     -0.0004039056115667124    0.00010288246675504741     
Lambda        Linear_AB11_off|CalanTololo|Bessell12_B    4312.342174553029    All      -0.00014363796948633204    -8.841041046513965e-05    -0.0010776999333530729    -3.0103365422859493e-05    
MWEBV         All|All|All                                All                  All      -0.8436691262688361        -4.02074707528417         0.05092606597320026       -1.0326062143247576        
Redshift      All|All|All                                All                  All      4.057929874082967          0.315731610482306         -0.7841306067001619       -1.2539492367161509        
