#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6532.6058309353075    All      2.93436557516695          -1.224686686167864         0.32805146305090926       -1.3401007201618371        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5455.198694853022     All      -1.9377927352889426       2.2294598561405365         -0.3280820411326344       1.342770472897169          
Check         All|All|All                            All                   All      0.9965728398780074        1.0047731699726725         -3.057808172512999e-05    0.002669752735331876       
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6532.6058309353075    All      -0.0009299961525896846    0.0003575875616860448      -0.0003450541966945086    0.0004040101919637074      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5455.198694853022     All      -0.0001128498711378018    -2.1851615103681783e-05    -0.0010351523971989013    -1.6552971459977027e-05    
MWEBV         All|All|All                            All                   All      -0.5646235392847516       -3.1740673914184114        -0.0006864209068948812    -0.8500123426051807        
Redshift      All|All|All                            All                   All      9.708255410030942         -1.7142389727117902        -2.7227207620926843       -3.8421847319704985        
