#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6532.6058309353075    All      2.954157753039919          -1.2596441223720944       0.1343611251977364         -1.3665779808664247       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5455.198694853022     All      -1.9418636963378377        2.253637486733062         -0.185390458085527         1.358339638538496         
Check         All|All|All                            All                   All      1.0122940567020813         0.9939933643609677        -0.0510293328877906        -0.008238342327928638     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6532.6058309353075    All      -0.0009278391746933216     0.0003870292549054892     -0.00010356196928274236    0.0004236744103606108     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5455.198694853022     All      -0.00010870660186208999    1.1229520604735813e-05    -0.0008370878810964387     1.7117533409165161e-06    
MWEBV         All|All|All                            All                   All      -0.5632214527813733        -3.1762459604179227       -0.016579843001979233      -0.851887930334795        
Redshift      All|All|All                            All                   All      9.628793045287384          -2.0963480600999063       -5.322002714378808         -4.056760741777586        
