#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                    
Zeropoint     AB|PS|PS_r                4078.4705104217246    All      -0.8819606983217392        0.41599795984943455       -0.24904033783688106      0.41167431006108174      
Zeropoint     AB|PS|PS_g                3211.5657720539352    All      -0.5259333431553184        0.06020005997910971       -0.6093514100723674       0.16373037783534647      
Zeropoint     AB|PS|PS_i                4939.911089809485     All      1.660677973743275          0.4989061638312364        2.322962476976409         -0.2747641532789155      
Zeropoint     AB|PS|PS_z                5677.163214213141     All      0.737234451120898          0.024514967988231717      -1.4697694341437195       -0.2977452428698228      
Check         All|All|All               All                   All      0.9900183833871159         0.9996191516480124        -0.0051987050765589515    0.0028952917476898765    
Lambda        AB|PS|PS_r                4078.4705104217246    All      4.986183352377713e-05      0.00016601277743242686    0.001334980899321583      9.740824987482301e-05    
Lambda        AB|PS|PS_g                3211.5657720539352    All      -0.0008978750918807367     0.00015119809112803194    -5.252810826862828e-05    0.0003393735609693702    
Lambda        AB|PS|PS_i                4939.911089809485     All      -0.00040418624983813825    -9.078020523577573e-05    -0.0007697308620097739    6.773710635407932e-05    
Lambda        AB|PS|PS_z                5677.163214213141     All      0.0002378377662413143      2.245779509111448e-05     7.773397993014427e-05     -6.66874318891759e-05    
MWEBV         All|All|All               All                   All      -0.38174202950469627       -2.2805103027177864       -0.11663726782118466      -0.6236962797734829      
Redshift      All|All|All               All                   All      2.8946816822504235         0.36868961344254103       -9.866100499492969        -1.263077471413166       
