#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_V    5406.765649859878    All      0.5795957056686016        0.4060455942257235         -1.3222648687331333       -0.11553758907469625       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_I    7951.207813944941    All      0.36209585824421425       -0.06518394341985534       0.6800409302256005        -0.10883198508897796       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_R    6414.193543887146    All      1.1503409214778633        -0.16336940395054178       0.032516002260446486      -0.42646763293769513       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_B    4409.438264806844    All      -1.093307802597077        0.8208051534293936         0.6198292561985341        0.6511496951549414         
Check         All|All|All                       All                  All      0.998724682793602         0.99829740028472           0.010121319951447827      0.00031248805357209086     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_V    5406.765649859878    All      6.495536198350245e-06     6.621596869834185e-05      -0.0013329453820229615    -4.003032079386128e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_I    7951.207813944941    All      0.00010162231708722523    -1.9691391959232674e-05    0.00015599900834520304    -3.2554346873995145e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_R    6414.193543887146    All      -0.0003460860101397636    5.437510713460824e-05      -0.0002349938677289656    0.00011995666364674383     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_B    4409.438264806844    All      -0.000628586447355898     0.00012371755105516813     -0.0030875942582199284    0.00010726501141203123     
MWEBV         All|All|All                       All                  All      -0.8422778105080067       -4.103272975104222         0.24272246249616436       -1.0513818199460068        
Redshift      All|All|All                       All                  All      3.6051348999843933        -0.60903082732775          6.064847881897206         -1.1020461131896502        
