#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_V    5406.765649859878    All      0.6069619762777347         0.40112570221162436        -0.9786947062386642       -0.11072229603283626       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_I    7951.207813944941    All      0.378686136653458          -0.07066578185828121       0.6130135571288177        -0.11901272351305904       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_R    6414.193543887146    All      1.1817870426571813         -0.1678714269310433        0.040217948315466774      -0.4378334236706859        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_B    4409.438264806844    All      -1.1676771424846022        0.8355387962986072         0.33514535609162854       0.6674693330839618         
Check         All|All|All                       All                  All      0.9997580131037714         0.998127289720907          0.009682155297248807      -9.911013261931778e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_V    5406.765649859878    All      4.396790091515623e-05      2.6743916391480983e-05     -0.0008938754991407232    -4.5499976516597516e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_I    7951.207813944941    All      9.012159421324992e-05      -1.6522859971299445e-05    0.0001567533205558486     -2.7742426471790912e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_R    6414.193543887146    All      -0.00039608558432255975    6.178999921487905e-05      -0.000175629409593994     0.00014130760730392887     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_B    4409.438264806844    All      -0.0004955409290675309     4.4639711849985544e-05     -0.002721738211420516     5.449593027781946e-05      
MWEBV         All|All|All                       All                  All      -0.8532819486795056        -4.099875661117203         0.20672061832516206       -1.0482973901391368        
Redshift      All|All|All                       All                  All      3.532823887809931          -0.10098634046302735       3.8380559343260336        -1.0123767313584011        
