#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_z                5782.946517599025    All      1.0781508136908002         0.14147495224303697       1.1525321069361545        -0.2536739292500033        
Zeropoint     AB|PS|PS_i                5031.957080702322    All      0.7766656030948831         0.29376048972551416       -1.8731715456875182       -0.24088912544904204       
Zeropoint     AB|PS|PS_r                4154.465169563142    All      -0.33836780285643764       0.44164782395021973       0.7705378956282274        0.28846231873215783        
Zeropoint     AB|PS|PS_g                3271.407285075503    All      -0.5269719027284331        0.12185881429527257       -0.05068394291545309      0.20908371884178784        
Check         All|All|All               All                  All      0.9894767112008128         0.9987420802140434        -0.0007854860385894183    0.0029829828749002862      
Lambda        AB|PS|PS_z                5782.946517599025    All      -0.0004228841839116153     -5.167913506669936e-05    -0.0003984268536373243    0.00010313373612267183     
Lambda        AB|PS|PS_i                5031.957080702322    All      -9.270457036817721e-05     1.6724558337211085e-05    -0.0021437379583366203    -6.0020511917501226e-05    
Lambda        AB|PS|PS_r                4154.465169563142    All      -0.00022877600986234554    0.0002201632939495737     8.95415889928726e-05      0.00015023013078304325     
Lambda        AB|PS|PS_g                3271.407285075503    All      -0.0011760430332635045     0.00025094555693305347    -0.0003914825574028575    0.0004473470618346471      
MWEBV         All|All|All               All                  All      -0.46084788276976973       -2.323157267852949        -0.06610545151227358      -0.6095654175701501        
Redshift      All|All|All               All                  All      7.948812903190163          1.0426320735724914        5.57302528510174          -2.000871780312291         
