#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                    dc/dP                      
Zeropoint     AB|PS|PS_z                5782.946517599025    All      1.7147361790424673         0.1265404082207766        2.050870496128121        -0.42580668171079417       
Zeropoint     AB|PS|PS_i                5031.957080702322    All      0.6633717829711501         0.2492544035655797        -2.3569294262962726      -0.24007058983979146       
Zeropoint     AB|PS|PS_r                4154.465169563142    All      -0.7189040189377257        0.4848805324959571        0.65830605176187         0.4214894073371528         
Zeropoint     AB|PS|PS_g                3271.407285075503    All      -0.6744089417810812        0.1405540646340242        -0.34599936773558326     0.2500199000115083         
Check         All|All|All               All                  All      0.9847950012948105         1.0012294089163376        0.006247753858135141     0.005632035798075474       
Lambda        AB|PS|PS_z                5782.946517599025    All      9.492563889210165e-05      0.0001249403983058631     0.0017104045751569295    8.610429518249538e-05      
Lambda        AB|PS|PS_i                5031.957080702322    All      -2.2635803304241068e-05    1.1227168818129217e-06    -0.002677626197175657    -0.00011175122763094822    
Lambda        AB|PS|PS_r                4154.465169563142    All      -0.00032725836870368084    0.00031120585919876823    0.0005910698586912364    0.00023434553698473894     
Lambda        AB|PS|PS_g                3271.407285075503    All      -0.0009059170575606548     0.0002811202737983347     0.000590945807350075     0.00041302830845796416     
MWEBV         All|All|All               All                  All      -0.35533901768442355       -2.3517152288134113       -0.11360795571949689     -0.6553552120724948        
Redshift      All|All|All               All                  All      6.874248477261944          0.21383154874303756       -1.3841815110985256      -2.2312865783515976        
