#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|DECam|DECam_g          3707.98431487874     All      -0.7205332960251325       0.4371591780287787         0.013867186607652293      0.37771735459907474        
Zeropoint     AB|DECam|DECam_z          7016.037210115079    All      0.6816904549729523        0.005373668678743115       0.6450264885255019        -0.19151405777401154       
Zeropoint     AB|DECam|DECam_i          5987.131197902361    All      0.9775544040614496        0.06561376516529549        -0.31086259390820103      -0.31092143787022075       
Zeropoint     AB|DECam|DECam_r          4928.186617475977    All      0.05575358259403207       0.490921398790789          -0.34658615476418353      0.1262819260566983         
Check         All|All|All               All                  All      0.9944651456033016        0.9990680106636063         0.0014449264607696577     0.0015637850115407526      
Lambda        AB|DECam|DECam_g          3707.98431487874     All      -0.0013951396387973589    0.0007377066689775984      -0.000650324653385856     0.0006657172085541026      
Lambda        AB|DECam|DECam_z          7016.037210115079    All      -0.0004133035881504451    -1.5325282102239568e-05    -0.0006024417841886413    0.00010275041746396146     
Lambda        AB|DECam|DECam_i          5987.131197902361    All      -9.052024779541409e-05    -1.3949750483524196e-05    -0.0003132902460778954    1.0960825276618315e-05     
Lambda        AB|DECam|DECam_r          4928.186617475977    All      -0.0002111087697585838    -1.3082387743970367e-05    -0.002017036758976915     -2.5507379141766757e-05    
MWEBV         All|All|All               All                  All      -0.4445264602952248       -2.8560568630762617        0.08963074051007158       -0.7815149808896277        
Redshift      All|All|All               All                  All      7.180009753716051         -0.7396076605836299        8.74267008224301          -2.1895347273721137        
