#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7484.116350964993     All      0.6062880224631817         -0.12211577990832723      0.330583647026228         -0.22251265235469567      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4310.671485312369     All      -0.9508330492021049        0.712560510109661         0.02756699254513606       0.5430521945571497        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6142.9664248602385    All      1.257017874429884          -0.09764115180903588      -0.013195435184520932     -0.4418458634720519       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5330.981862923863     All      0.08444834805118034        0.5060186301200531        -0.34228132631934916      0.12204486656779215       
Check         All|All|All                                All                   All      0.9969211957421412         0.998822208512351         0.0026738780674939733     0.0007385452981943097     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7484.116350964993     All      -0.00019354142739732877    1.2457784108225536e-05    -0.0003228869320503538    5.269175954874783e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4310.671485312369     All      -0.000292119783081799      0.0001238875195123918     -0.000541512086731781     0.00011134206733287843    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6142.9664248602385    All      -0.00037250268489746104    -2.374624117689005e-05    -0.0004885003650437301    9.180191977510749e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5330.981862923863     All      -2.8260856099854744e-05    6.083778859885027e-05     -0.0008480518999321271    -8.822301495764304e-06    
MWEBV         All|All|All                                All                   All      -0.8464722970265188        -4.0036642664961875       0.05382784242253802       -1.025999203601883        
Redshift      All|All|All                                All                   All      5.580449640330555          -0.0029163604446935665    -0.7119110195482281       -1.8504553128512562       
