#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            5947.265289640815    All      1.2188950015689153         0.15758780290262564        0.3764450997341018        -0.32890365472401234      
Zeropoint     AB|SDSS|SDSS_r            4904.254114078369    All      0.830060338520886          0.39990195753354385        0.09543456492002722       -0.13585793016068354      
Zeropoint     AB|SDSS|SDSS_z            7070.802673361428    All      0.06481061069363933        0.006946079421155105       0.07963481043824494       -0.015294645681578067     
Zeropoint     AB|SDSS|SDSS_g            3753.156920726541    All      -1.114614923060577         0.4340950410439248         -0.5484481288467569       0.47999106529397273       
Check         All|All|All               All                  All      0.9991510277228637         0.9985308809012494         0.00306634624561708       -6.516527230121527e-05    
Lambda        AB|SDSS|SDSS_i            5947.265289640815    All      -0.00023833562150319721    -2.8203252927701855e-05    -2.671317902984245e-05    6.725493910371563e-05     
Lambda        AB|SDSS|SDSS_r            4904.254114078369    All      -0.00031916034581232325    -9.192630563771663e-05     -0.0014182452032309135    1.0727833007156832e-05    
Lambda        AB|SDSS|SDSS_z            7070.802673361428    All      -4.171423432333579e-05     -4.709907646006025e-06     -3.416157932569988e-05    1.0529052218146216e-05    
Lambda        AB|SDSS|SDSS_g            3753.156920726541    All      -0.0014801070531209        0.0005361788943838041      -0.0012858857486986446    0.0005993874918348501     
MWEBV         All|All|All               All                  All      -0.5622109453998476        -2.9930556324799795        0.08090692668968891       -0.7881955824506987       
Redshift      All|All|All               All                  All      4.902480226746132          0.22138107754159364        5.930781435479959         -1.2601244601119819       
