#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            5947.265289640815    All      1.1629361448515045         0.12962292259928176        -0.12211980748815715       -0.34203375761501636      
Zeropoint     AB|SDSS|SDSS_r            4904.254114078369    All      0.8027041855743893         0.39165290517679807        0.20604767266153443        -0.12469796392278859      
Zeropoint     AB|SDSS|SDSS_z            7070.802673361428    All      0.11846315251691687        0.0100281837870142         0.0918075130418894         -0.031223889069434473     
Zeropoint     AB|SDSS|SDSS_g            3753.156920726541    All      -1.0861782516235055        0.46748289689695355        -0.1739425981017715        0.49831629074283923       
Check         All|All|All               All                  All      0.997925231319305          0.9987869084600476         0.0017927801134951793      0.00036068013559981127    
Lambda        AB|SDSS|SDSS_i            5947.265289640815    All      -0.00018309790404097244    -1.9855344807074564e-05    3.5820658601777525e-05     5.477198353822195e-05     
Lambda        AB|SDSS|SDSS_r            4904.254114078369    All      -0.00026103677718885085    -8.669526651510959e-05     -0.0014602743046016639     -8.376569725305116e-06    
Lambda        AB|SDSS|SDSS_z            7070.802673361428    All      -4.001325905345526e-05     -3.964560686592531e-06     -4.6990979669551044e-05    9.64525542414796e-06      
Lambda        AB|SDSS|SDSS_g            3753.156920726541    All      -0.0015660743271074442     0.0006003947287883912      -0.0009832729061624939     0.0006618112924272227     
MWEBV         All|All|All               All                  All      -0.5624560833347951        -2.9962903039070454        0.05889678725297673        -0.7901515832959586       
Redshift      All|All|All               All                  All      4.2555140831668385         -0.13547357886309896       3.9888692792298293         -1.2522842250082904       
