#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4079.1215667925408    All      -2.7960662820010804       0.5872781387182613        0.5192176428450861        1.1252368852733285        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    4884.752109481297     All      3.79182233883966          0.41585052056376526       -0.5068223600699705       -1.1222822415653033       
Check         All|All|All                            All                   All      0.9957560568385799        1.0031286592820265        0.01239528277511559       0.0029546437080252286     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4079.1215667925408    All      -0.0006658081008661862    1.0048544866813185e-05    -0.001405556679380288     0.00015742520542602606    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    4884.752109481297     All      -0.001230993429053361     -0.0002027055924478598    -0.0008017606022939941    0.00029916828472026846    
MWEBV         All|All|All                            All                   All      -0.05796350825060115      -2.0833489833279373       0.026989548883368103      -0.6585302628274642       
Redshift      All|All|All                            All                   All      3.482405778539428         0.9225687051792164        2.7172495273811443        -0.7125647844003241       
