#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4079.1215667925408    All      -2.963925934801602        0.5428385843012862         -0.362249231550264        1.1261030535441374        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    4884.752109481297     All      3.956218682355429         0.45946943608932145        0.36354906648686974       -1.1227827440252138       
Check         All|All|All                            All                   All      0.9922927475538271        1.0023080203906076         0.0012998349366057371     0.003320309518923592      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4079.1215667925408    All      -0.0014481302049540895    0.00013742300554510996     -0.0014173263023891066    0.00045321808047944355    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    4884.752109481297     All      -0.0005266451365909513    -0.00012903568163645862    -0.0011332460072080097    7.894291595016137e-05     
MWEBV         All|All|All                            All                   All      -0.048920575187468174     -2.086278054887458         0.016458203840025217      -0.6628999041608816       
Redshift      All|All|All                            All                   All      3.432591069565185         0.40178165470425853        5.071283896934761         -0.7609262283325291       
