#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            7878.36982319271      All      0.10955919016541255       -0.0024993013068908       0.15131076205676758       -0.029748832921995504     
Zeropoint     AB|SDSS|SDSS_u            3180.2107840766066    All      -0.11471012962694811      0.07214011680183319       0.29059506349737424       0.07383119548140768       
Zeropoint     AB|SDSS|SDSS_i            6626.511522510515     All      0.9642254330750439        0.0361049989372475        1.5446432183932508        -0.2333890271068147       
Zeropoint     AB|SDSS|SDSS_r            5464.376450949042     All      0.7267747819243704        0.2866224661389083        -1.9019866263886103       -0.22824901745951195      
Zeropoint     AB|SDSS|SDSS_g            4181.810692774148     All      -0.6924145401109777       0.6086557048940122        -0.06266578795321233      0.4210048964349837        
Check         All|All|All               All                   All      0.9934347354269011        1.0010239854651104        0.021896629605569914      0.0034492144280691694     
Lambda        AB|SDSS|SDSS_z            7878.36982319271      All      2.0509374202166362e-06    -9.430208294973118e-09    4.553088981256146e-06     -4.679460710356735e-07    
Lambda        AB|SDSS|SDSS_u            3180.2107840766066    All      -7.616209638503118e-05    4.598810327027552e-05     0.00016680186268520306    4.723193968833209e-05     
Lambda        AB|SDSS|SDSS_i            6626.511522510515     All      -0.0003400131198967674    -1.075586288875087e-05    -0.0005259237242381095    8.378036051706695e-05     
Lambda        AB|SDSS|SDSS_r            5464.376450949042     All      0.00020251983922169202    6.98346226263008e-05      -9.440807073594393e-05    -4.74329388554448e-05     
Lambda        AB|SDSS|SDSS_g            4181.810692774148     All      -0.0004866263673802523    0.0002859607593730522     -0.0012917354483707787    0.00019401282421058886    
MWEBV         All|All|All               All                   All      -0.8080475462678827       -3.414686091315744        0.49942134179966885       -0.8267810492577545       
Redshift      All|All|All               All                   All      2.240581261940928         -0.41928973925919877      -2.3661526195079405       -0.9719980163103307       
