#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            3693.4470687544303    All      -1.1508532901085573        0.3657728293074314         -0.7005372935881122        0.4627532606496473         
Zeropoint     AB|SDSS|SDSS_i            5852.648854041692     All      1.163959004511105          0.06589052877110646        -0.7671615143995468        -0.3919119228705982        
Zeropoint     AB|SDSS|SDSS_z            6958.311618532661     All      0.11293469538194108        0.012047751948429664       0.1038015385016688         -0.028230010638039996      
Zeropoint     AB|SDSS|SDSS_r            4826.231187414128     All      0.8728094975634888         0.5555198224367786         1.3719837708735714         -0.04212635130847913       
Check         All|All|All               All                   All      0.9988499073479775         0.9992309324637461         0.008086501387581269       0.00048497583252998105     
Lambda        AB|SDSS|SDSS_g            3693.4470687544303    All      -0.0021826350768850062     0.0005035284035048977      -0.0028447506258187567     0.0007480236627533337      
Lambda        AB|SDSS|SDSS_i            5852.648854041692     All      -0.00021193590883302876    -3.9971646193251795e-06    0.00022695217534764276     7.786032320401649e-05      
Lambda        AB|SDSS|SDSS_z            6958.311618532661     All      -5.7936715199116546e-05    -5.838540854092101e-06     -5.1074474009374536e-05    1.46908701647362e-05       
Lambda        AB|SDSS|SDSS_r            4826.231187414128     All      -2.150074494157801e-05     -2.8481802296439923e-05    -0.0006338066550573075     -3.0557840096974935e-05    
MWEBV         All|All|All               All                   All      -0.5406008765720047        -2.9242868960741575        0.11869619294827857        -0.7711480915531723        
Redshift      All|All|All               All                   All      4.818194011970691          -0.8453769019716617        0.13038716628254884        -1.8389927922350633        
