#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            3693.4470687544303    All      -1.2327914426947704        0.33044027745603444       -1.1036377310093868        0.45994571693893127        
Zeropoint     AB|SDSS|SDSS_i            5852.648854041692     All      1.1377799098458243         0.07005308968821566       -0.6860763797881392        -0.378410190289441         
Zeropoint     AB|SDSS|SDSS_z            6958.311618532661     All      0.14452729225861086        0.012657049191844294      0.09728407488281826        -0.0386131351165539        
Zeropoint     AB|SDSS|SDSS_r            4826.231187414128     All      0.9481794551822169         0.5866455485286082        1.7065938470141748         -0.04160604221910974       
Check         All|All|All               All                   All      0.9976952145918819         0.9997959648647026        0.014163811099467294       0.0013163493138266258      
Lambda        AB|SDSS|SDSS_g            3693.4470687544303    All      -0.002098009914792668      0.0004967141538375129     -0.0023977223868695183     0.0007381876552537644      
Lambda        AB|SDSS|SDSS_i            5852.648854041692     All      -0.00022594771854793138    -3.857810861026081e-06    0.0002912168386553339      8.533765947318763e-05      
Lambda        AB|SDSS|SDSS_z            6958.311618532661     All      -4.01435694734991e-05      -4.778382091024783e-06    -4.9652087718128976e-05    9.303860379508355e-06      
Lambda        AB|SDSS|SDSS_r            4826.231187414128     All      -2.1517062980345363e-05    -3.5354047229973e-05      -0.0005826689633277449     -3.0509000724927915e-05    
MWEBV         All|All|All               All                   All      -0.5508913035566358        -2.9220703921186697       0.1130123616335646         -0.767327815966852         
Redshift      All|All|All               All                   All      4.117828346413685          -1.039310499633217        -4.002146050157952         -1.8584471840125543        
