#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V    5415.284608220917    All      0.6618712086099854        0.4884808576704813        -0.05871562223461848      -0.05909915022333772       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R    6424.755946882802    All      1.1710902570797546        -0.20209456506172785      0.12589472337035446       -0.44167336971978627       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B    4393.483612668389    All      -1.1894750166726396       0.809658515115963         -0.16041649786765472      0.6440249093096854         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I    7944.13033934056     All      0.3553757228341945        -0.09816614091451292      0.0938049584410524        -0.14354742164243753       
Check         All|All|All                       All                  All      0.9988621718512946        0.9978786668102035        0.0005675617091336488     -0.0002950322758761559     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V    5415.284608220917    All      1.9955966351746515e-05    0.00013676485993499715    -0.0017378374390413294    -3.950320376723502e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R    6424.755946882802    All      -0.0003650139064285454    6.655977620897665e-05     -0.0007934255788058211    0.00010517080727723928     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B    4393.483612668389    All      -0.000642558521363234     0.00028688189351726143    -0.0008918599436497254    0.0002629497076874538      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I    7944.13033934056     All      5.4526283360042976e-05    2.3621240155295028e-07    0.00015989223102704498    -1.0548806289180737e-05    
MWEBV         All|All|All                       All                  All      -0.8663384007810868       -4.116526965786926        0.013090967600428157      -1.058109153890743         
Redshift      All|All|All                       All                  All      4.091406490886596         -1.6988567016468004       3.1948607962944484        -1.743507251935198         
