#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V    5415.284608220917    All      0.658922430331367         0.5322606387744955         -0.057210613435998425      -0.043810959478046696     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R    6424.755946882802    All      1.21585383199085          -0.19646502221841722       0.18953460568404967        -0.4515806557754243       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B    4393.483612668389    All      -1.2665691929057648       0.7592655029562634         -0.2422471115414826        0.6490706324367573        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I    7944.13033934056     All      0.397037147371451         -0.09789461862470539       0.12354534803831196        -0.1557022974967126       
Check         All|All|All                       All                  All      1.0052442167879034        0.9971665008876363         0.013622228744880616       -0.0020232803134262456    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V    5415.284608220917    All      4.831582608530617e-05     -2.6006069574753464e-05    -0.0013471851149751755     -8.432777081812986e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R    6424.755946882802    All      -0.0003252029200625961    5.576819887065429e-05      -0.00022702360805803806    0.00011396380606817565    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B    4393.483612668389    All      -0.0006061263741806398    0.00013835449828127693     -0.0010914582092329938     0.00019379514586221388    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I    7944.13033934056     All      1.2146796855731677e-05    8.318291262576558e-06      6.400665650866706e-05      1.6092528822580685e-06    
MWEBV         All|All|All                       All                  All      -0.8683627380624959       -4.116102033749014         0.0341413794126888         -1.056371963096736        
Redshift      All|All|All                       All                  All      5.002458161328409         -0.9508998611234221        4.258839802842007          -1.7491521073167675       
