#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4847.74207162703     All      -2.408670778904227        1.5004603744930733        -0.5802925015126357       1.2474368341009998        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5805.175923997096    All      3.4063079211379863        -0.49739381130180504      0.5812491493300679        -1.2456256022741279       
Check         All|All|All                            All                  All      0.9976371422337597        1.0030665631912683        0.0009566478174322102     0.0018112318268719285     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4847.74207162703     All      -0.0007819567416486827    1.3742244176468326e-05    -0.0024899680860995615    0.00014806949772948246    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5805.175923997096    All      -0.0011614232769047352    0.00015795598008609037    -0.0002865376940731329    0.0004169783690237155     
MWEBV         All|All|All                            All                  All      -0.3607072608235349       -2.713131729335494        -0.020745191781062242     -0.7671878044905422       
Redshift      All|All|All                            All                  All      5.325652606413013         1.4957306187525887        8.034890836583026         -0.8889713169539251       
