#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_g                4769.750863322134    All      -1.1056241276150147        1.2142615698039982         -0.12187715902394203      0.7502242757761346         
Zeropoint     AB|PS|PS_z                8431.605037593803    All      0.2410965949177508         -0.05539722193503849       0.06272862289475878       -0.0937785001681457        
Zeropoint     AB|PS|PS_i                7336.653476128053    All      0.7317689448639568         -0.16401515378214881       0.17441663693480436       -0.2840029379107614        
Zeropoint     AB|PS|PS_r                6057.259797508886    All      1.131129636170031          0.004248743147616807       -0.1141659843892251       -0.3721568836754847        
Check         All|All|All               All                  All      0.9983710483367237         0.9990979372344277         0.001102116416396015      0.0002859540217427514      
Lambda        AB|PS|PS_g                4769.750863322134    All      -0.0003520238668918357     0.00011807577701376913     -0.000839066840906098     0.0001156832204239314      
Lambda        AB|PS|PS_z                8431.605037593803    All      0.0002766464663326668      -7.10059968404935e-05      6.903647216039552e-05     -0.00011016106400234074    
Lambda        AB|PS|PS_i                7336.653476128053    All      -0.0004222868359030348     -0.00013190131112005216    -0.0024615365345463944    -1.5258951286603718e-05    
Lambda        AB|PS|PS_r                6057.259797508886    All      -0.00023111502469203027    -3.150933404655698e-05     -0.0006835986273412675    3.451227319209109e-05      
MWEBV         All|All|All               All                  All      -0.7092496497089091        -4.03946533311732          -0.03361415172329352      -1.086260854135017         
Redshift      All|All|All               All                  All      6.117010106165775          0.5805082996831246         6.756171293299684         -1.501923889022995         
