#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_g                4769.750863322134    All      -1.1161812068355081        1.2092549315267043         -0.11063685139328376      0.7525338403001083         
Zeropoint     AB|PS|PS_z                8431.605037593803    All      0.3000533191410448         -0.07685496176659257       0.05270596884987833       -0.12041940168573423       
Zeropoint     AB|PS|PS_i                7336.653476128053    All      0.6587263460171179         -0.15505159661763912       0.04186263823221742       -0.26320611113906944       
Zeropoint     AB|PS|PS_r                6057.259797508886    All      1.156329761335857          0.021746656835475164       0.016845478745687783      -0.36881930746326475       
Check         All|All|All               All                  All      0.998928219658512          0.9990950299779477         0.0007772344344997746     8.90200120398088e-05       
Lambda        AB|PS|PS_g                4769.750863322134    All      -0.00027853503044353604    5.375582363617745e-05      -0.0006513724728010467    7.917030140259612e-05      
Lambda        AB|PS|PS_z                8431.605037593803    All      0.0003148546289846551      -8.899227427608046e-05     1.9593505422513053e-05    -0.0001306718544032089     
Lambda        AB|PS|PS_i                7336.653476128053    All      -0.0002677740826443097     -0.00012277945448424397    -0.001784092312054797     -3.2386325274085185e-05    
Lambda        AB|PS|PS_r                6057.259797508886    All      -0.00018518055272685567    -3.909878169757236e-05     -0.0005728319398451866    2.2020780218401553e-05     
MWEBV         All|All|All               All                  All      -0.7026386826333577        -4.042975490224698         -0.02939670154114419      -1.0893694318249114        
Redshift      All|All|All               All                  All      5.433584326500263          1.0673153730477836         5.190505052189812         -1.190609042769536         
