#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_g                4801.4296305933085    All      -1.1261003540004482       1.2527560162876483         0.2595498158612042        0.7864542980654989         
Zeropoint     AB|PS|PS_z                8487.604367823466     All      0.351020777059493         -0.07814370845942165       0.2296022024478206        -0.12954690025523233       
Zeropoint     AB|PS|PS_r                6097.489681401117     All      1.2249428365289137        -0.05145393821370803       -1.0247352257439446       -0.46149364842656104       
Zeropoint     AB|PS|PS_i                7385.380578377086     All      0.5503109377369906        -0.12418433722540811       0.5376441354610018        -0.1957127128352578        
Check         All|All|All               All                   All      1.000174197324949         0.9989740323891105         0.002060928026081932      -0.0002989634515521977     
Lambda        AB|PS|PS_g                4801.4296305933085    All      -0.0003414495200906408    4.190764908943978e-05      -0.0006976612523615451    9.373862462754037e-05      
Lambda        AB|PS|PS_z                8487.604367823466     All      0.000452076920502551      -9.98783923880677e-05      0.00032462851392225516    -0.0001653033245873843     
Lambda        AB|PS|PS_r                6097.489681401117     All      -0.0003340412340568645    -3.635331330163742e-05     -0.001065382662425729     4.9423614333192896e-05     
Lambda        AB|PS|PS_i                7385.380578377086     All      -0.0001145052424612484    -1.7758349773973265e-05    -0.0008158953865407015    -4.8960180028667714e-06    
MWEBV         All|All|All               All                   All      -0.6927786154745599       -4.069646452531028         0.17655316928297804       -1.0920781931155377        
Redshift      All|All|All               All                   All      6.100237334555862         0.9889872301554803         9.526195090060652         -1.2397919794990466        
