#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|MEGACAMPSF|i           4286.188347377761    All      0.9622307557649361        0.7135123718484238        -0.1607645169837621        -0.08818994226165722       
Zeropoint     AB|MEGACAMPSF|z           4934.944959164826    All      1.4802468660090298        0.2327899153883095        0.2939845256272111         -0.39321858977517665       
Zeropoint     AB|MEGACAMPSF|r           3499.357293451512    All      -1.4464101688288973       0.05227045261513297       -0.13482408600141577       0.4821530037986438         
Check         All|All|All               All                  All      0.9960674529450684        0.9985727398518662        -0.0016040773579667489     0.0007444717618099173      
Lambda        AB|MEGACAMPSF|i           4286.188347377761    All      -4.989226334535659e-05    -7.24343931234332e-05     -0.0021992597473490887     -0.00010548557497228072    
Lambda        AB|MEGACAMPSF|z           4934.944959164826    All      0.00022151769982288607    1.0592202811269853e-05    -0.00021761100259741763    -7.841635321415714e-05     
Lambda        AB|MEGACAMPSF|r           3499.357293451512    All      -0.0029336620792663705    0.00011084044799024295    -0.000402806507167231      0.00097371922989404        
MWEBV         All|All|All               All                  All      -0.24274293380246892      -1.7907173128582698       0.033093641677428565       -0.5027493648684017        
Redshift      All|All|All               All                  All      7.657390317049814         0.6003575427167007        -2.1716738886127263        -2.39561957559383          
