#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_r            4493.080767415847     All      0.843042526128255         0.5391828854685699         0.8705320826458474         -0.06012923300886125       
Zeropoint     AB|SDSS|SDSS_g            3438.4917227681476    All      -1.0766171232259893       0.1656368070966252         -0.8497933584337813        0.36672059941927904        
Zeropoint     AB|SDSS|SDSS_z            6477.98559431766      All      0.13270953443446365       0.026195179483501363       0.23652144996690883        -0.02414036361742533       
Zeropoint     AB|SDSS|SDSS_i            5448.6457410306175    All      1.0959618244450362        0.2672398957892952         -0.2578990575950124        -0.2814508467577387        
Check         All|All|All               All                   All      0.9950967617817653        0.9982547678379916         -0.0006388834160375723     0.0010001560352537742      
Lambda        AB|SDSS|SDSS_r            4493.080767415847     All      -0.0007027856050813807    -0.00029707365348047613    -0.004171467835419972      -5.3999720472844195e-05    
Lambda        AB|SDSS|SDSS_g            3438.4917227681476    All      -0.000644835957877922     0.0002568038847042615      0.0015671154210719388      0.0003636269235404037      
Lambda        AB|SDSS|SDSS_z            6477.98559431766      All      -5.590471331457342e-05    -1.1715239422148872e-05    -0.00012973653347861586    8.60441980646716e-06       
Lambda        AB|SDSS|SDSS_i            5448.6457410306175    All      0.00010490664183356553    3.6073976450686405e-05     0.0004541956589015512      -2.152397431064039e-06     
MWEBV         All|All|All               All                   All      -0.7849354447050376       -2.628018901816098         -0.33024337739082643       -0.6150901628057343        
Redshift      All|All|All               All                   All      4.170122928732738         1.3181676224865768         1.2701202491442132         -0.8722960365190241        
