#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4259.7591405880075    All      -0.7602614437802341        0.5035057584922065        3.015261731622844         0.5462078369722378         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5230.029787763983     All      -0.19669080463720895       0.8585796147084324        -5.14006711832296         0.11435870493009637        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6357.43800738878      All      1.2612705784157288         -0.13752553182744265      -1.708875458098733        -0.5318931752451784        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7626.942224652338     All      0.6832479442914378         -0.22699032232527117      3.8250205864563034        -0.12580144829713205       
Check         All|All|All                                      All                   All      0.9875662742897234         0.997569519047925         -0.008660258342545468     0.002871918360023734       
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4259.7591405880075    All      -0.00043855455574261243    0.00015990373168389316    -0.0005528492040370163    0.00017026643207603725     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5230.029787763983     All      -0.00018079351552685688    0.00021088415221852684    -0.0030856592032304196    -1.0116496122861185e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6357.43800738878      All      -0.0003630704343164269     7.25345447783297e-05      0.00014484759258414593    0.00014835475546540216     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7626.942224652338     All      -0.0002146915379478129     8.179919053246984e-05     -0.0012269706098468462    4.1822721475982026e-05     
MWEBV         All|All|All                                      All                   All      -0.7525295920787474        -3.958172482949962        0.7362979576545864        -1.011325755919393         
Redshift      All|All|All                                      All                   All      6.326036443632084          -1.078910131045241        7.837834885740569         -2.0622681418015856        
