#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4259.7591405880075    All      -0.8586632197137201        0.6125652523136793        2.3815491226669483        0.5855051146035086         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5230.029787763983     All      -0.016055674344998605      0.6532818576434174        -3.666295492742555        0.054415325564392825       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6357.43800738878      All      1.3206373389736232         -0.12178228043611128      -1.7545078454942686       -0.5481391512190389        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7626.942224652338     All      0.5360790399172972         -0.14383744422969968      2.9600351159071003        -0.0893783952012131        
Check         All|All|All                                      All                   All      0.9819974848322015         1.0002273852912857        -0.07921909966277507      0.002402893747649515       
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4259.7591405880075    All      -0.0003665292439425535     9.204233769272479e-05     -0.0009573340036995574    0.0001066504309864622      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5230.029787763983     All      -6.978957350518791e-05     0.00011257073600219056    -0.0017851379331415731    -2.0261754831601664e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6357.43800738878      All      -0.000440464363645157      6.009412788049325e-05     0.00034866766431086347    0.00017860780506066403     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7626.942224652338     All      -0.00019016803116141153    5.532153285670659e-05     -0.0011791441652818713    2.7344238884202517e-05     
MWEBV         All|All|All                                      All                   All      -0.7781606052925918        -3.9375858340471304       0.6610771864173914        -0.9996279003958816        
Redshift      All|All|All                                      All                   All      5.664089520309221          -0.2802145565995673       2.4198076169790417        -1.8282704994731793        
