#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5296.355723487391    All      3.531369577823029         0.020979208599314347      0.4060400066088064        -1.125329931048309        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4422.840376105936    All      -2.534610680496743        0.981071666480382         -0.40854334457125263      1.126941989827643         
Check         All|All|All                            All                  All      0.9967588973262859        1.0020508750796964        -0.002503337962446228     0.0016120587793340135     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5296.355723487391    All      0.0010827864331770856     -4.28297864093381e-05     -0.001123598180395795     -0.0004167912606842501    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4422.840376105936    All      -0.0003313033711886552    -3.602157974943371e-05    -0.001678717139164279     2.126955810218738e-05     
MWEBV         All|All|All                            All                  All      -0.10919908483550778      -2.389543044738751        -0.0010705873409046027    -0.7428308242244128       
Redshift      All|All|All                            All                  All      0.5138671469161227        -0.28330262342066703      0.021187114920311483      -0.2587189366751489       
