#Date  :
#Flux  :
#Fluxerr  :
#ZP  :
#end  :
@INSTRUMENT  SDSS
@BAND  SDSS_g
@MAGSYS  AB
54357.291701  39.75  1.046  23.897
54379.331939  213.7  5.141  23.897
54382.321609  182.1  3.546  23.897
54385.339502  147.5  2.475  23.897
54387.339848  127.7  3.318  23.897
54392.334312  82.75  2.316  23.897
54394.322606  70.43  2.236  23.897
54402.332493  36.96  1.806  23.897
54408.246173  26.46  0.9635  23.897
54411.204003  23.79  0.7193  23.897
54413.244809  22.51  1.251  23.897
54417.246194  19.14  0.7344  23.897
54418.244522  18.62  0.7033  23.897
54422.248646  17.08  1.215  23.897
