#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|DECam|DECam_z          7116.971769716086     All      0.5158990379085341         0.017285358985574817       0.34715717795958945        -0.1469228487109106       
Zeropoint     AB|DECam|DECam_r          4999.0848084304625    All      0.28138094225718097        0.5013832090185133         -0.04473141776695222       0.06966581841278824       
Zeropoint     AB|DECam|DECam_i          6073.26364455793      All      0.9480143805217606         0.06677179920142606        -0.06095579916769456       -0.28976987811280414      
Zeropoint     AB|DECam|DECam_g          3761.328354059454     All      -0.7499316893120468        0.4124667904253698         -0.24125103623435784       0.36786550090335823       
Check         All|All|All               All                   All      0.9953626713754287         0.997907157630884          0.00021892479058482905     0.0008385924924317334     
Lambda        AB|DECam|DECam_z          7116.971769716086     All      -0.0002710674785031636     -5.1592532462578515e-05    -0.0005632383865279275     4.6355468106273286e-05    
Lambda        AB|DECam|DECam_r          4999.0848084304625    All      -0.00012478494357669997    -2.4836752757647347e-05    -0.001106609701453806      -1.682649455378463e-05    
Lambda        AB|DECam|DECam_i          6073.26364455793      All      -0.00012043840569329343    -4.5961644920511915e-05    -0.00036651721328908796    7.903551319927186e-06     
Lambda        AB|DECam|DECam_g          3761.328354059454     All      -0.0012555486458489286     0.0005033166188350522      -0.001393992047704087      0.0005107128189408863     
MWEBV         All|All|All               All                   All      -0.4589732774579347        -2.9061764503412135        0.12389860402834962        -0.7916055583489886       
Redshift      All|All|All               All                   All      6.909364315639234          0.7422165427787064         6.595240484259879          -1.7145276307872714       
