#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|DECam|DECam_z          7116.971769716086     All      0.5999167298964513         0.022352725776642046      0.3507333781573123         -0.1724799776261425        
Zeropoint     AB|DECam|DECam_r          4999.0848084304625    All      0.2076693817601777         0.4455078687648495        -0.05339901944083215       0.07508886688640971        
Zeropoint     AB|DECam|DECam_i          6073.26364455793      All      0.9178626111401262         0.05460138333681641       -0.24479717453259495       -0.2921167559329887        
Zeropoint     AB|DECam|DECam_g          3761.328354059454     All      -0.7296237866241521        0.47641663568143144       -0.050593211359637555      0.39058930043951573        
Check         All|All|All               All                   All      0.995824936172603          0.9988786135597394        0.0019439728242476723      0.0010814337667942597      
Lambda        AB|DECam|DECam_z          7116.971769716086     All      -0.0002643909040947156     -5.110867775608649e-05    -0.0004772804068170736     4.8174205408693814e-05     
Lambda        AB|DECam|DECam_r          4999.0848084304625    All      -2.4333745223426153e-05    1.3426175472254726e-06    -0.0010529000615548468     -3.8622457870476347e-05    
Lambda        AB|DECam|DECam_i          6073.26364455793      All      4.2288203933379406e-06     -1.952982885451725e-05    -0.00016640407993979595    -1.5164823517787375e-05    
Lambda        AB|DECam|DECam_g          3761.328354059454     All      -0.0012804998638471818     0.0006644824309172482     -0.0008752320977339488     0.0005944871326954003      
MWEBV         All|All|All               All                   All      -0.4531288242108782        -2.9110995861234557       0.0872241680537254         -0.7967495279769438        
Redshift      All|All|All               All                   All      6.493183907499148          0.10781086169977527       4.968111707373103          -1.8582220657619732        
