#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|MEGACAMPSF|i           5697.469416019527     All      1.7585225575495451         0.1469463056452014         0.6145944064055053        -0.49751687890123436      
Zeropoint     AB|MEGACAMPSF|g           3653.6323124346873    All      -0.5965258864939333        0.25285010952558196        0.37599466755986743       0.2934486206759665        
Zeropoint     AB|MEGACAMPSF|z           6562.154791223642     All      0.3206986579511265         -0.01073519593752792       0.25772972074256384       -0.09645761633450267      
Zeropoint     AB|MEGACAMPSF|r           4659.232553107309     All      -0.49583663006023837       0.6111385453444029         -1.2513173408460643       0.3047376872015409        
Check         All|All|All               All                   All      0.9868586989464999         1.0001997645776584         -0.002998546138127667     0.0042118126417703405     
Lambda        AB|MEGACAMPSF|i           5697.469416019527     All      -0.000521113122056018      -7.163019632570426e-05     -7.134360314733012e-05    0.00014322763912023764    
Lambda        AB|MEGACAMPSF|g           3653.6323124346873    All      -0.0005599302966183806     0.00023907202904642925     0.0003623494641356066     0.0002764313362382371     
Lambda        AB|MEGACAMPSF|z           6562.154791223642     All      -4.465443304072385e-05     1.8731204695218456e-07     -5.594452050284142e-05    1.2109884618497314e-05    
Lambda        AB|MEGACAMPSF|r           4659.232553107309     All      -0.00027318345433100584    -0.00016048208308486276    -0.0014323590058569799    -2.720905946458085e-05    
MWEBV         All|All|All               All                   All      -0.49107925238637185       -2.7366389098231636        0.07738192381444853       -0.7279994572880172       
Redshift      All|All|All               All                   All      2.289728023586499          0.9290044856570034         -4.070675708360105        -0.6248879837051565       
