#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|MEGACAMPSF|i           3901.6135332290264    All      1.1144429904126292        0.7984607603196636         -0.8488838960766854       -0.14080759734705905       
Zeropoint     AB|MEGACAMPSF|r           3196.915781301455     All      -0.9634292569187941       -0.09555110050367688       0.16727663870007015       0.2901612559990316         
Zeropoint     AB|MEGACAMPSF|z           4503.048862425944     All      0.8987998672118596        0.3021765681811672         0.680953589341432         -0.16395200563222023       
Check         All|All|All               All                   All      1.0498136007056944        1.005086227997154          -0.0006536680351831858    -0.0145983469802477        
Lambda        AB|MEGACAMPSF|i           3901.6135332290264    All      1.6120745266228553e-05    0.0003007637325874046      -0.0024036280225341205    -1.4545293734852924e-05    
Lambda        AB|MEGACAMPSF|r           3196.915781301455     All      -0.0013594196280684125    -0.00010603554160804176    0.00019141886410844566    0.0004168105768218984      
Lambda        AB|MEGACAMPSF|z           4503.048862425944     All      4.460789381321057e-05     -1.418088769021326e-05     -0.0003111412089332054    -3.3034243363932565e-05    
MWEBV         All|All|All               All                   All      -0.605702551102876        -1.6238540681603908        0.07270882171462323       -0.32840078452202326       
Redshift      All|All|All               All                   All      5.954130511716885         1.5226975688246824         1.530267970459448         -1.3751746680583903        
