#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|MEGACAMPSF|i           3901.6135332290264    All      1.1638812245373635        0.7786691268242052         -0.7273601910391451        -0.15793499800831312       
Zeropoint     AB|MEGACAMPSF|r           3196.915781301455     All      -1.3023099746644708       -0.13970090524164647       0.13449668546933016        0.3847019919648608         
Zeropoint     AB|MEGACAMPSF|z           4503.048862425944     All      1.1347293667778804        0.359429191058247          0.5893497668801452         -0.22624080053975687       
Check         All|All|All               All                   All      0.9963006166507731        0.9983974126408057         -0.0035137386896697542     0.0005261934167908322      
Lambda        AB|MEGACAMPSF|i           3901.6135332290264    All      0.0009706320754357007     0.0006744482635776508      -0.00168842050099853       -0.00017182326400483667    
Lambda        AB|MEGACAMPSF|r           3196.915781301455     All      -0.0027627329794692457    -0.0002945352767959354     0.0002779855751423615      0.0008163784125302325      
Lambda        AB|MEGACAMPSF|z           4503.048862425944     All      -3.147056647623531e-05    -1.5912035901750885e-05    -0.00028467584651884197    -7.63585029270258e-06      
MWEBV         All|All|All               All                   All      -0.6034148960285663       -1.6267557872749805        0.07721364511400904        -0.32989010484227843       
Redshift      All|All|All               All                   All      6.500672192711236         1.198706297394203          0.8493957479458722         -1.6891200905043806        
